Id,Label,topic,language,media_type,location,followers,popularity
TWI20250420000505,TWI20250420000505,Technology,English,Text,Europe,44,0
TWI20250420000508,TWI20250420000508,Politics,English,Link,North America,124,0
TWI20250420000514,TWI20250420000514,Education,German,Image,North America,219,1
TWI20250420000517,TWI20250420000517,Health,English,Video,North America,37446,1
TWI20250420000522,TWI20250420000522,Politics,English,Video,North America,76,0
TWI20250420000525,TWI20250420000525,Business,English,Image,North America,1805,0
TWI20250420000528,TWI20250420000528,Climate,German,Image,Europe,14,0
TWI20250420000535,TWI20250420000535,Fashion,German,Video,Europe,274,0
TWI20250420000542,TWI20250420000542,Science,English,Video,Asia,14343,1
TWI20250420000543,TWI20250420000543,Finance,English,Text,Asia,737,0
TWI20250420000550,TWI20250420000550,Entertainment,English,Image,North America,83296,1
TWI20250420000560,TWI20250420000560,Finance,Spanish,Image,Asia,23,0
TWI20250420000561,TWI20250420000561,Business,English,Image,Europe,14,0
TWI20250420000569,TWI20250420000569,Education,Arabic,Text,Unknown,4,0
TWI20250420000574,TWI20250420000574,AI/ML,Spanish,Text,North America,13,0
TWI20250420000576,TWI20250420000576,Technology,Portuguese,Image,Europe,3,0
TWI20250420000577,TWI20250420000577,Entertainment,Portuguese,Text,North America,464,0
TWI20250420000578,TWI20250420000578,Health,French,Text,Asia,448,0
TWI20250420000579,TWI20250420000579,Climate,Portuguese,Text,North America,172455,1
TWI20250420000586,TWI20250420000586,Sports,Japanese,Image,Asia,4983,1
TWI20250420000599,TWI20250420000599,Sports,Portuguese,Text,North America,55,0
TWI20250420000603,TWI20250420000603,Travel,English,Image,Europe,43,0
TWI20250420000605,TWI20250420000605,Technology,French,Text,South America,183,0
TWI20250420000611,TWI20250420000611,Entertainment,English,Link,Asia,175647,0
TWI20250420000622,TWI20250420000622,Science,English,Text,North America,31,0
TWI20250420000625,TWI20250420000625,Technology,English,Image,Europe,58422,1
TWI20250420000627,TWI20250420000627,Sports,English,Video,North America,980,0
TWI20250420000630,TWI20250420000630,Gaming,English,Video,Asia,798,0
TWI20250420000637,TWI20250420000637,Food,English,Image,Asia,73,0
TWI20250420000644,TWI20250420000644,Entertainment,English,Text,North America,381,0
TWI20250420000648,TWI20250420000648,Climate,Spanish,Link,Asia,3898,0
TWI20250420000652,TWI20250420000652,Fashion,Portuguese,Text,Oceania,243,0
TWI20250420000653,TWI20250420000653,Education,English,Video,Europe,774,0
TWI20250420000664,TWI20250420000664,Politics,English,Video,North America,12819,1
TWI20250420000668,TWI20250420000668,Food,German,Text,Europe,1212,0
TWI20250420000674,TWI20250420000674,Gaming,Portuguese,Image,North America,894,0
TWI20250420000679,TWI20250420000679,Food,Arabic,Video,North America,528,0
TWI20250420000682,TWI20250420000682,Climate,Chinese,Video,Europe,391,0
TWI20250420000686,TWI20250420000686,Sports,French,Text,Asia,323,0
TWI20250420000688,TWI20250420000688,Sports,English,Video,Europe,190,0
TWI20250420000690,TWI20250420000690,Food,English,Image,Europe,996,0
TWI20250420000691,TWI20250420000691,Politics,Japanese,Link,North America,337,1
TWI20250420000692,TWI20250420000692,Sports,English,Image,Asia,14373,1
TWI20250420000697,TWI20250420000697,Entertainment,Spanish,Image,North America,147,0
TWI20250420000701,TWI20250420000701,Finance,English,Video,North America,505,1
TWI20250420000702,TWI20250420000702,Sports,English,Video,North America,661,0
TWI20250420000703,TWI20250420000703,Finance,Chinese,Text,Oceania,0,0
TWI20250420000705,TWI20250420000705,Business,French,Video,North America,2621,1
TWI20250420000707,TWI20250420000707,AI/ML,Chinese,Image,South America,24688,1
TWI20250420000708,TWI20250420000708,Health,Spanish,Video,Europe,25926,0
TWI20250420000709,TWI20250420000709,Sports,English,Text,Asia,4324,1
TWI20250420000713,TWI20250420000713,Science,Arabic,Text,Europe,20165,1
TWI20250420000716,TWI20250420000716,AI/ML,Hindi,Text,Europe,7475,1
TWI20250420000717,TWI20250420000717,Gaming,English,Link,North America,3,0
TWI20250420000722,TWI20250420000722,Gaming,Portuguese,Link,North America,25,0
TWI20250420000725,TWI20250420000725,Technology,English,Poll,North America,198,0
TWI20250420000729,TWI20250420000729,Food,English,Image,Asia,212,0
TWI20250420000730,TWI20250420000730,AI/ML,English,Image,North America,11593,0
TWI20250420000733,TWI20250420000733,Fashion,English,Text,Europe,61,0
TWI20250420000737,TWI20250420000737,Gaming,Portuguese,Video,North America,1100,0
TWI20250420000738,TWI20250420000738,Fashion,English,Link,Europe,2475,0
TWI20250420000739,TWI20250420000739,AI/ML,English,Link,South America,8,0
TWI20250420000740,TWI20250420000740,Politics,Spanish,Link,North America,436,0
TWI20250420000742,TWI20250420000742,Travel,English,Video,North America,283,0
TWI20250420000745,TWI20250420000745,Sports,Arabic,Poll,Unknown,2566,1
TWI20250420000746,TWI20250420000746,Food,French,Video,Asia,369,0
TWI20250420000752,TWI20250420000752,Finance,English,Image,Europe,2167,0
TWI20250420000753,TWI20250420000753,Science,French,Image,Europe,639,0
TWI20250420000755,TWI20250420000755,Gaming,Portuguese,Image,Europe,12,0
TWI20250420000757,TWI20250420000757,Science,English,Image,Europe,248,0
TWI20250420000760,TWI20250420000760,Technology,English,Image,Oceania,263,0
TWI20250420000761,TWI20250420000761,Gaming,English,Link,Europe,46,0
TWI20250420000762,TWI20250420000762,Finance,English,Image,North America,135,0
TWI20250420000768,TWI20250420000768,Sports,Japanese,Text,North America,394,0
TWI20250420000769,TWI20250420000769,Food,English,Text,Europe,73,0
TWI20250420000773,TWI20250420000773,Food,Japanese,Text,Europe,6972,1
TWI20250420000776,TWI20250420000776,Education,English,Image,Europe,1266,0
TWI20250420000780,TWI20250420000780,AI/ML,English,Image,North America,3007,0
TWI20250420000785,TWI20250420000785,Finance,Spanish,Text,North America,3198,0
TWI20250420000795,TWI20250420000795,Education,Korean,Text,Asia,8959,0
TWI20250420000797,TWI20250420000797,Sports,English,Image,North America,36,0
TWI20250420000798,TWI20250420000798,Entertainment,English,Video,Europe,167,0
TWI20250420000800,TWI20250420000800,Technology,Arabic,Poll,Europe,2239,0
TWI20250420000807,TWI20250420000807,AI/ML,Spanish,Text,Europe,14342,1
TWI20250420000808,TWI20250420000808,Education,English,Image,Europe,2101,1
TWI20250420000812,TWI20250420000812,AI/ML,French,Text,Africa,4,0
TWI20250420000821,TWI20250420000821,Science,French,Text,Asia,99,0
TWI20250420000823,TWI20250420000823,Travel,English,Text,Asia,10,0
TWI20250420000824,TWI20250420000824,Science,Spanish,Link,Asia,68,0
TWI20250420000825,TWI20250420000825,Food,English,Text,North America,4395,1
TWI20250420000826,TWI20250420000826,Politics,English,Image,Europe,1912,0
TWI20250420000835,TWI20250420000835,AI/ML,English,Link,North America,19114,1
TWI20250420000840,TWI20250420000840,Travel,Portuguese,Video,North America,13,0
TWI20250420000842,TWI20250420000842,Climate,Portuguese,Text,Europe,208,0
TWI20250420000843,TWI20250420000843,Health,English,Image,Unknown,121,0
TWI20250420000844,TWI20250420000844,Sports,Portuguese,Video,North America,225,0
TWI20250420000846,TWI20250420000846,AI/ML,English,Image,Oceania,9975,1
TWI20250420000847,TWI20250420000847,Gaming,Portuguese,Text,Europe,204,0
TWI20250420000852,TWI20250420000852,Health,English,Link,North America,2,0
TWI20250420000856,TWI20250420000856,Entertainment,English,Image,Europe,3897,0
TWI20250420000858,TWI20250420000858,Science,English,Image,Asia,203,0
TWI20250420000860,TWI20250420000860,Finance,Spanish,Text,South America,118,0
TWI20250420000861,TWI20250420000861,Food,English,Image,Asia,16,0
TWI20250420000863,TWI20250420000863,Entertainment,French,Image,North America,348,0
TWI20250420000866,TWI20250420000866,Gaming,Spanish,Text,North America,565,0
TWI20250420000868,TWI20250420000868,Politics,English,Link,North America,21195,1
TWI20250420000874,TWI20250420000874,Entertainment,English,Image,North America,581,0
TWI20250420000877,TWI20250420000877,AI/ML,English,Text,Asia,58,0
TWI20250420000879,TWI20250420000879,Business,English,Text,Europe,1979,0
TWI20250420000880,TWI20250420000880,Finance,Spanish,Image,Asia,41,0
TWI20250420000884,TWI20250420000884,Food,French,Text,Europe,951,0
TWI20250420000889,TWI20250420000889,Business,English,Video,North America,600,0
TWI20250420000891,TWI20250420000891,Gaming,English,Poll,Unknown,505,0
TWI20250420000894,TWI20250420000894,Business,English,Image,North America,68,0
TWI20250420000899,TWI20250420000899,Gaming,English,Link,Europe,46,0
TWI20250420000901,TWI20250420000901,Finance,English,Text,Asia,87,0
TWI20250420000915,TWI20250420000915,Technology,English,Video,Asia,581,0
TWI20250420000916,TWI20250420000916,Politics,German,Text,Oceania,117,0
TWI20250420000918,TWI20250420000918,Climate,English,Link,North America,6212,1
TWI20250420000922,TWI20250420000922,Fashion,Portuguese,Poll,Asia,40,0
TWI20250420000924,TWI20250420000924,Business,Arabic,Text,Asia,54153,1
TWI20250420000927,TWI20250420000927,Sports,Japanese,Text,North America,115030,1
TWI20250420000932,TWI20250420000932,Fashion,English,Video,Europe,302,0
TWI20250420000940,TWI20250420000940,AI/ML,English,Video,Asia,326748,1
TWI20250420000945,TWI20250420000945,AI/ML,English,Text,North America,1279,0
TWI20250420000946,TWI20250420000946,Science,English,Text,North America,8528,1
TWI20250420000947,TWI20250420000947,Fashion,German,Text,Asia,300809,1
TWI20250420000948,TWI20250420000948,Science,Hindi,Video,Asia,104,0
TWI20250420000950,TWI20250420000950,Politics,Portuguese,Text,South America,98,0
TWI20250420000952,TWI20250420000952,Education,French,Video,Oceania,6017,0
TWI20250420000954,TWI20250420000954,Entertainment,Chinese,Video,Asia,12155,1
TWI20250420000956,TWI20250420000956,AI/ML,Spanish,Image,Asia,1564,0
TWI20250420000959,TWI20250420000959,Gaming,Spanish,Image,Europe,88,0
TWI20250420000962,TWI20250420000962,Education,Korean,Text,South America,303,0
TWI20250420000967,TWI20250420000967,Travel,English,Image,Oceania,6002,1
TWI20250420000970,TWI20250420000970,Gaming,English,Text,North America,567,0
TWI20250420000971,TWI20250420000971,Entertainment,English,Image,North America,6761,0
TWI20250420000979,TWI20250420000979,Travel,Spanish,Text,Asia,1016,0
TWI20250420000981,TWI20250420000981,Entertainment,Spanish,Image,Europe,1169,0
TWI20250420000987,TWI20250420000987,Business,German,Image,Asia,218,0
TWI20250420000996,TWI20250420000996,Technology,English,Image,Europe,47,0
TWI20250420001003,TWI20250420001003,Business,Portuguese,Text,Asia,8017,0
TWI20250420001004,TWI20250420001004,Travel,Spanish,Link,Asia,47326,1
TWI20250420001007,TWI20250420001007,Technology,French,Text,North America,224,0
TWI20250420001008,TWI20250420001008,Fashion,Portuguese,Text,Europe,13472,1
TWI20250420001009,TWI20250420001009,AI/ML,Portuguese,Link,Europe,23565,1
TWI20250420001012,TWI20250420001012,Education,Spanish,Image,North America,211,0
TWI20250421001019,TWI20250421001019,Finance,Korean,Video,Africa,12,0
TWI20250421001023,TWI20250421001023,Education,English,Text,Asia,295,0
TWI20250421001026,TWI20250421001026,Climate,English,Text,North America,5854,1
TWI20250421001027,TWI20250421001027,Travel,Chinese,Video,Asia,49,0
TWI20250421001031,TWI20250421001031,Business,Arabic,Video,North America,10606,1
TWI20250421001032,TWI20250421001032,Gaming,English,Image,Europe,7603,1
TWI20250421001034,TWI20250421001034,Travel,English,Text,Asia,29,0
TWI20250421001039,TWI20250421001039,Health,Spanish,Text,Europe,1969,0
TWI20250421001041,TWI20250421001041,Business,English,Video,Europe,767,0
TWI20250421001042,TWI20250421001042,Finance,English,Link,North America,6,0
TWI20250421001044,TWI20250421001044,Education,English,Image,Asia,1,0
TWI20250421001046,TWI20250421001046,Entertainment,English,Image,North America,816,0
TWI20250421001047,TWI20250421001047,Politics,Portuguese,Image,Europe,104,0
TWI20250421001051,TWI20250421001051,Politics,English,Image,Europe,607,0
TWI20250421001052,TWI20250421001052,Gaming,Portuguese,Image,Asia,80,0
TWI20250421001055,TWI20250421001055,Finance,English,Video,Africa,29542,1
TWI20250421001058,TWI20250421001058,Business,English,Text,Asia,815,0
TWI20250421001066,TWI20250421001066,Science,English,Text,North America,1342,1
TWI20250421001070,TWI20250421001070,Food,English,Text,North America,13301,1
TWI20250421001071,TWI20250421001071,Entertainment,Spanish,Text,Africa,3371,0
TWI20250421001072,TWI20250421001072,Politics,French,Text,North America,260,0
TWI20250421001077,TWI20250421001077,Finance,English,Video,North America,1,0
TWI20250421001084,TWI20250421001084,AI/ML,English,Image,Oceania,789,0
TWI20250421001085,TWI20250421001085,Politics,English,Text,North America,2929,0
TWI20250421001094,TWI20250421001094,Gaming,Spanish,Text,Africa,557,1
TWI20250421001101,TWI20250421001101,Food,English,Text,North America,18645,1
TWI20250421001102,TWI20250421001102,Technology,English,Text,Asia,128243,1
TWI20250421001103,TWI20250421001103,Finance,English,Text,Asia,94,0
TWI20250421001105,TWI20250421001105,Health,English,Image,North America,30,0
TWI20250421001113,TWI20250421001113,Gaming,Spanish,Text,Europe,19,0
TWI20250421001114,TWI20250421001114,Health,English,Text,North America,39,0
TWI20250421001118,TWI20250421001118,Fashion,English,Image,Unknown,88,0
TWI20250421001121,TWI20250421001121,Health,French,Poll,North America,114,0
TWI20250421001124,TWI20250421001124,Finance,English,Link,South America,2581,0
TWI20250421001127,TWI20250421001127,Technology,French,Video,Asia,1131,1
TWI20250421001133,TWI20250421001133,Health,English,Image,North America,437,0
TWI20250421001134,TWI20250421001134,Fashion,Korean,Text,North America,15,0
TWI20250421001143,TWI20250421001143,Food,French,Link,Europe,85729,0
TWI20250421001146,TWI20250421001146,Education,English,Image,Unknown,524,0
TWI20250421001147,TWI20250421001147,AI/ML,Japanese,Text,Asia,935,0
TWI20250421001148,TWI20250421001148,Business,English,Image,Europe,3,0
TWI20250421001152,TWI20250421001152,Politics,English,Video,North America,6302,0
TWI20250421001153,TWI20250421001153,Education,Korean,Image,South America,863,0
TWI20250421001161,TWI20250421001161,Fashion,English,Text,North America,1170,0
TWI20250421001163,TWI20250421001163,Health,English,Image,Asia,203,0
TWI20250421001171,TWI20250421001171,Gaming,English,Image,Europe,982,0
TWI20250421001172,TWI20250421001172,Travel,Japanese,Image,North America,15,0
TWI20250421001179,TWI20250421001179,Travel,English,Video,Europe,3717,1
TWI20250421001182,TWI20250421001182,Science,Arabic,Image,North America,110,0
TWI20250421001185,TWI20250421001185,AI/ML,English,Text,Asia,196,0
TWI20250421001186,TWI20250421001186,Gaming,English,Image,North America,52,0
TWI20250421001190,TWI20250421001190,Travel,English,Video,Asia,199,0
TWI20250421001202,TWI20250421001202,Food,English,Text,Europe,28874,1
TWI20250421001205,TWI20250421001205,Technology,French,Link,North America,93,0
TWI20250421001211,TWI20250421001211,Climate,Japanese,Image,Africa,7,0
TWI20250421001213,TWI20250421001213,Science,English,Text,North America,61,0
TWI20250421001222,TWI20250421001222,AI/ML,English,Text,Europe,7791,1
TWI20250421001226,TWI20250421001226,Fashion,English,Image,South America,38,0
TWI20250421001240,TWI20250421001240,Health,English,Text,Asia,504,0
TWI20250421001249,TWI20250421001249,Fashion,English,Text,Europe,48,0
TWI20250421001251,TWI20250421001251,Gaming,English,Link,Europe,23585,1
TWI20250421001254,TWI20250421001254,Fashion,English,Link,Unknown,2774,0
TWI20250421001255,TWI20250421001255,Gaming,Korean,Image,North America,654,0
TWI20250421001261,TWI20250421001261,Education,Korean,Poll,Unknown,102,0
TWI20250421001262,TWI20250421001262,Climate,English,Link,North America,50,0
TWI20250421001263,TWI20250421001263,Fashion,English,Image,North America,13907,1
TWI20250421001265,TWI20250421001265,Sports,Spanish,Image,North America,591,0
TWI20250421001266,TWI20250421001266,Business,English,Image,Unknown,113,1
TWI20250421001270,TWI20250421001270,Business,English,Video,North America,1030,1
TWI20250421001274,TWI20250421001274,Food,English,Image,Unknown,685,0
TWI20250421001282,TWI20250421001282,Sports,Portuguese,Image,Asia,52930,1
TWI20250421001290,TWI20250421001290,Entertainment,English,Text,Asia,264,0
TWI20250421001293,TWI20250421001293,Climate,French,Image,North America,33,0
TWI20250421001294,TWI20250421001294,Climate,English,Video,North America,4224,1
TWI20250421001299,TWI20250421001299,Health,English,Poll,North America,14,0
TWI20250421001301,TWI20250421001301,Business,English,Video,North America,632,1
TWI20250421001304,TWI20250421001304,AI/ML,English,Video,North America,30,0
TWI20250421001305,TWI20250421001305,AI/ML,Arabic,Link,Europe,239,0
TWI20250421001308,TWI20250421001308,Fashion,English,Link,Europe,18,0
TWI20250421001311,TWI20250421001311,Sports,English,Text,North America,122,0
TWI20250421001315,TWI20250421001315,AI/ML,English,Link,Asia,10,0
TWI20250421001316,TWI20250421001316,Food,English,Text,Oceania,193,0
TWI20250421001322,TWI20250421001322,Health,Korean,Text,North America,114,0
TWI20250421001326,TWI20250421001326,Climate,English,Text,Asia,4806,1
TWI20250421001327,TWI20250421001327,Food,German,Image,North America,88,0
TWI20250421001328,TWI20250421001328,Climate,English,Text,Oceania,2058,0
TWI20250421001330,TWI20250421001330,AI/ML,English,Video,North America,39,0
TWI20250421001331,TWI20250421001331,Fashion,English,Text,Europe,2,0
TWI20250421001333,TWI20250421001333,Gaming,Hindi,Video,Asia,1862,0
TWI20250421001335,TWI20250421001335,Sports,Hindi,Video,Europe,81,0
TWI20250421001339,TWI20250421001339,AI/ML,English,Video,North America,9886,0
TWI20250421001340,TWI20250421001340,Food,English,Text,Unknown,205,0
