post_id,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,content_length,num_hashtags,sentiment_positive,sentiment_negative,toxicity_score,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,topic_Business,topic_Climate,topic_Education,topic_Entertainment,topic_Fashion,topic_Finance,topic_Food,topic_Gaming,topic_Health,topic_Politics,topic_Science,topic_Sports,topic_Technology,topic_Travel,language_Chinese,language_English,language_French,language_German,language_Hindi,language_Japanese,language_Korean,language_Portuguese,language_Spanish,media_type_Link,media_type_Poll,media_type_Text,media_type_Video,location_Asia,location_Europe,location_North America,location_Oceania,location_South America,location_Unknown,popularity,Degree,Authority,Hub,pageranks,modularity_class,eigencentrality
YOU20250717047114,20,3,0,user_371259,2,3087,0,205,1,0.197,0.014,0.0,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,1,0,1,0.789,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3.6e-05,3.6e-05,5.7e-05,17,0.329103
YOU20250806126366,19,2,0,user_463763,15,2712,0,13,2,0.02,0.931,78.5,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.2225209339563143,1,0,0,0.931,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,1e-06,1e-06,4.9e-05,31,0.251271
YOU20250718047150,7,4,0,user_332772,1680,3374,0,252,0,0.143,0.232,0.5,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,1,0,1,0.625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1.1e-05,2e-06,5.9e-05,33,0.279411
YOU20250903069623,16,2,0,user_187397,197,153,0,284,2,0.788,0.15,41.1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,1,0,1,0.788,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0.000417,6.3e-05,5.7e-05,35,0.324528
YOU20250520016753,22,1,0,user_470082,761,2212,0,160,0,0.1,0.235,22.9,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,1,0.665,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,6,5e-06,5e-06,5.7e-05,11,0.326836
YOU20250527022170,22,1,0,user_169956,90,2294,0,115,4,0.098,0.142,0.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1,0,0,0.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,9.3e-05,1.4e-05,5.8e-05,28,0.288242
YOU20250625035768,16,2,0,user_369520,9555,714,0,113,2,0.805,0.086,18.7,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,1,0,0,0.805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,1e-06,1e-06,7.5e-05,26,0.432203
YOU20250518100813,23,6,1,user_89926,13087,2482,0,155,1,0.145,0.941,68.9,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,1,0,1,0.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,1e-06,1e-06,4.9e-05,6,0.269766
YOU20250524019542,19,5,1,user_182083,577387,676,0,263,2,0.133,0.198,0.0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0,0,1,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,0.045772,0.006942,4.6e-05,20,0.375511
YOU20250627113621,20,4,0,user_225781,92,369,0,80,1,0.1,0.846,60.3,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0,0,0,0.846,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,7e-06,7e-06,5.2e-05,28,0.191828
YOU20251006087858,17,0,0,user_78391,397,1311,0,249,2,0.669,0.097,0.0,-0.9659258262890684,-0.2588190451025206,0.0,1.0,1,0,1,0.669,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0.0,0.0,5.8e-05,24,0.29421
YOU20250728123423,16,0,0,user_464483,386,841,0,205,1,0.643,0.122,11.2,-0.8660254037844385,-0.5000000000000004,0.0,1.0,1,0,1,0.643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2e-06,0.0,6e-05,24,0.260198
YOU20250516099971,14,4,0,user_161791,14157,693,0,106,0,0.789,0.017,0.0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0,0,0,0.789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,3e-06,3e-06,5.7e-05,7,0.304713
YOU20250505007057,12,0,0,user_351013,152,1840,0,78,2,0.683,0.021,18.0,1.2246467991473532e-16,-1.0,0.0,1.0,1,0,0,0.683,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,1e-06,0.0,4.8e-05,14,0.293495
YOU20250706042098,18,6,1,user_136887,201,2623,0,189,5,0.271,0.0,8.2,-1.0,-1.8369701987210294e-16,-0.7818314824680299,0.6234898018587334,1,1,1,0.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7,0.000255,0.000255,6.3e-05,35,0.478286
YOU20250906071549,12,5,1,user_120262,333,333,0,234,0,0.061,0.65,40.3,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1,0,1,0.65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1.9e-05,3e-06,5.7e-05,24,0.328218
YOU20250529104186,18,3,0,user_19094,11149,3136,0,221,4,0.266,0.227,14.1,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,0,0,1,0.507,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,2e-06,2e-06,5.6e-05,15,0.368538
YOU20250513012167,21,1,0,user_322304,10854,1489,0,298,2,0.934,0.075,18.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1,0,1,0.934,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,7,0.0,0.0,6.5e-05,15,0.406138
YOU20250724049345,14,3,0,user_32655,239034,256,0,107,1,0.077,0.151,14.3,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,0,0,0,0.772,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,0.000104,0.000104,5.5e-05,12,0.342385
YOU20250906136258,15,5,1,user_206675,21802,2688,0,56,1,0.064,0.88,39.8,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,0,0,0,0.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,6,0.0,0.0,5.7e-05,9,0.323924
YOU20250709117339,16,2,0,user_80719,1166,1539,0,14,0,0.025,0.903,58.1,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,1,0,0,0.903,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,3e-06,3e-06,5.7e-05,4,0.321664
YOU20251011147521,14,5,1,user_494669,607,1320,0,124,2,0.756,0.046,2.5,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,0,0,0,0.756,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,2e-06,2e-06,4.8e-05,32,0.289145
YOU20250619033735,17,3,0,user_21591,321,1100,0,192,2,0.771,0.131,16.6,-0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,1,0,1,0.771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0.0,0.0,5.1e-05,24,0.212835
YOU20251014148579,18,1,0,user_267491,3967,714,0,83,0,0.239,0.159,24.5,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,1,0,0,0.602,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,3e-06,3e-06,5.7e-05,10,0.304573
YOU20250804125712,17,0,0,user_11150,121,2172,0,219,1,0.138,0.18,41.1,-0.9659258262890684,-0.2588190451025206,0.0,1.0,1,0,1,0.682,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0.0,0.0,5.7e-05,28,0.321376
YOU20250507097095,14,2,0,user_450824,785,1531,0,265,2,0.817,0.111,32.9,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.2225209339563143,0,0,1,0.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2e-05,3e-06,4.9e-05,11,0.274003
YOU20250529104072,14,3,0,user_35439,4650,91,0,121,3,0.179,0.226,9.1,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,0,0,0,0.594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2e-06,2e-06,5.1e-05,1,0.211348
YOU20250604106012,11,2,0,user_370091,8765,1428,0,294,1,0.802,0.144,0.0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,1,0,1,0.802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0.0,0.0,5.1e-05,25,0.223206
YOU20250705040616,17,5,1,user_57411,74324,451,0,138,2,0.133,0.18,1.9,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,0,0,0,0.687,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,6,0.000175,2.6e-05,5.5e-05,7,0.353916
YOU20250604106153,17,2,0,user_252720,116,535,0,83,2,0.868,0.049,9.4,-0.9659258262890684,-0.2588190451025206,0.9749279121818236,-0.2225209339563143,1,0,0,0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0.0,0.0,5.7e-05,28,0.349008
YOU20251001086032,20,2,0,user_27313,122929,493,0,210,1,0.834,0.046,15.5,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,1,0,1,0.834,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,3e-05,3e-05,4.6e-05,0,0.370857
YOU20251015148965,20,2,0,user_2242,309,2905,0,14,1,0.691,0.046,21.3,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,0,0,0,0.691,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,2e-06,2e-06,5.7e-05,24,0.318369
YOU20250710043935,21,3,0,user_487594,63,3170,0,277,2,0.138,0.102,14.9,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419,1,0,1,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,6.2e-05,6.2e-05,4.1e-05,3,0.190379
YOU20250619110811,7,3,0,user_438467,34,2137,0,19,2,0.073,0.129,9.7,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0,0,0,0.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,6,4e-06,4e-06,5.7e-05,5,0.315739
YOU20250422002802,19,1,0,user_131753,886,1793,0,204,2,0.063,0.762,65.6,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1,0,1,0.762,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3e-06,0.0,5.7e-05,22,0.304709
YOU20250422002720,18,1,0,user_86938,26092,3110,0,246,2,0.785,0.113,26.0,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,1,0,1,0.785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,1.2e-05,2e-06,5.1e-05,21,0.21634
YOU20250904070242,16,3,0,user_295761,196,2333,0,295,2,0.797,0.029,0.0,-0.8660254037844385,-0.5000000000000004,0.4338837391175582,-0.900968867902419,1,0,1,0.797,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,4.2e-05,4.2e-05,6.5e-05,35,0.388646
YOU20250519100863,12,0,0,user_191384,4449,1800,0,179,1,0.047,0.937,58.5,1.2246467991473532e-16,-1.0,0.0,1.0,0,0,1,0.937,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,5,1e-06,1e-06,4.8e-05,10,0.305727
YOU20250724049568,18,3,0,user_195963,373,648,0,104,2,0.27,0.0,0.0,-1.0,-1.8369701987210294e-16,0.4338837391175582,-0.900968867902419,1,0,0,0.752,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0.0,0.0,5.7e-05,24,0.320923
YOU20250630037624,12,0,0,user_435763,6586,87,0,180,1,0.731,0.031,7.4,1.2246467991473532e-16,-1.0,0.0,1.0,1,0,1,0.731,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,5,4.6e-05,7e-06,5e-05,25,0.242269
YOU20250821063015,19,3,0,user_47397,70,1185,0,89,0,0.18,0.085,14.0,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419,1,0,0,0.735,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,6,0.000542,0.000542,5.7e-05,3,0.339507
YOU20250619033482,14,3,0,user_458358,825,2083,0,209,1,0.173,0.168,20.4,-0.4999999999999997,-0.8660254037844388,0.4338837391175582,-0.900968867902419,1,0,1,0.659,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9,3e-06,3e-06,7.9e-05,28,0.605868
YOU20250730051644,15,2,0,user_365484,1468,2559,0,115,1,0.143,0.858,70.2,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0,0,0,0.858,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,0.000101,0.000101,5.1e-05,8,0.224653
YOU20250729123683,13,1,0,user_49447,18,616,0,162,1,0.187,0.282,25.0,-0.2588190451025208,-0.9659258262890684,0.7818314824680298,0.6234898018587336,1,0,1,0.532,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,1e-06,1e-06,7.1e-05,31,0.537504
YOU20250607027932,17,5,1,user_494207,2453,2280,0,55,2,0.212,0.054,0.0,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,0,0,0,0.734,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,2e-06,2e-06,5e-05,2,0.232786
YOU20250601105106,17,6,1,user_360469,12,500,0,137,2,0.742,0.094,0.0,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,1,0,0,0.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,5e-06,5e-06,4.9e-05,31,0.248187
YOU20250906136347,18,5,1,user_265493,405,2135,0,191,1,0.278,0.137,3.0,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146,0,0,1,0.584,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0.0,0.0,5.8e-05,24,0.297797
YOU20250617110368,19,1,0,user_250329,1172,2504,0,90,2,0.101,0.697,51.5,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,0,0,0,0.697,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,9e-06,1e-06,5e-05,4,0.245544
YOU20250617110293,16,1,0,user_361945,5464,612,0,65,4,0.824,0.149,6.8,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0,0,0,0.824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,6,2e-06,0.0,5.7e-05,34,0.321114
YOU20250613108973,15,4,0,user_145103,6779,3620,0,81,2,0.699,0.015,0.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0,0,0,0.699,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,5e-06,5e-06,4.9e-05,25,0.252763
YOU20250605025513,8,3,0,user_78634,8168,1536,0,203,2,0.057,0.747,33.4,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,1,0,1,0.747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,5.7e-05,25,0.319257
YOU20250805053803,19,1,0,user_172152,15886,1675,0,252,0,0.848,0.048,0.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1,0,1,0.848,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,5,4.4e-05,7e-06,4.9e-05,1,0.261058
YOU20250903069617,16,2,0,user_64476,18060,3611,0,188,3,0.709,0.018,8.4,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.2225209339563143,1,0,1,0.709,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,6,0.00014,2.1e-05,5.7e-05,1,0.334181
YOU20251011147748,22,5,1,user_193006,369,913,0,90,3,0.786,0.121,12.4,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1,0,0,0.786,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0.0,0.0,4.3e-05,24,0.168861
YOU20250507008304,11,2,0,user_349574,908435,3084,0,271,1,0.106,0.292,16.1,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.2225209339563143,0,0,1,0.603,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,0.035584,0.035584,5.5e-05,20,0.378539
YOU20250930144099,18,1,0,user_284660,5531,450,0,90,0,0.772,0.043,0.0,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,1,0,0,0.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1e-06,0.0,5e-05,34,0.238415
YOU20251017090471,17,4,0,user_319607,429127,2129,0,126,0,0.086,0.835,92.3,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,1,0,0,0.835,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,0.001964,0.001964,5.4e-05,12,0.403618
YOU20250827066176,15,2,0,user_265860,66442,3162,1,173,3,0.073,0.773,46.5,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.2225209339563143,0,0,1,0.773,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,3.9e-05,3.9e-05,6.8e-05,7,0.634115
YOU20250422002695,17,1,0,user_462311,122,3055,0,298,2,0.227,0.13,21.2,-0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,1,0,1,0.643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6,3e-06,0.0,5.7e-05,28,0.337669
YOU20250825132391,14,0,0,user_471804,1925,3354,0,108,2,0.124,0.248,31.8,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1,0,0,0.628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2e-06,2e-06,5.5e-05,30,0.387429
YOU20250818061679,21,0,0,user_20188,706097,3207,1,70,2,0.168,0.173,30.9,-0.7071067811865477,0.7071067811865474,0.0,1.0,0,0,0,0.659,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,6,0.155148,0.02353,5.2e-05,20,0.522308
