Id,Label,topic,language,media_type,location,followers,popularity,pageranks,modularity_class,Authority,Hub,indegree,outdegree,Degree,eigencentrality
YOU20250419000279,YOU20250419000279,Science,English,Image,Asia,50,0,0.000018,5,0,0.011668,0,18,18,0
YOU20250419000288,YOU20250419000288,AI/ML,Arabic,Link,Europe,4979,1,0.000018,20,0,0.011122,0,18,18,0
YOU20250419000294,YOU20250419000294,Food,Japanese,Image,Asia,526084,1,0.000018,15,0,0.008906,0,18,18,0
YOU20250419000304,YOU20250419000304,AI/ML,Japanese,Link,North America,545,0,0.000018,29,0,0.008548,0,18,18,0
YOU20250419000307,YOU20250419000307,Technology,Portuguese,Text,North America,1743,0,0.000018,12,0,0.011903,0,18,18,0
YOU20250419000313,YOU20250419000313,Health,English,Video,Europe,130119,1,0.000018,43,0,0.011622,0,18,18,0
YOU20250419000315,YOU20250419000315,Food,English,Image,North America,33992,0,0.000018,10,0,0.011843,0,18,18,0
YOU20250419000316,YOU20250419000316,Education,Japanese,Image,Europe,196100,1,0.000018,1,0,0.009774,0,18,18,0
YOU20250419000317,YOU20250419000317,Fashion,Japanese,Video,North America,22972,0,0.000018,34,0,0.01015,0,18,18,0
YOU20250419000318,YOU20250419000318,Technology,French,Poll,North America,1808,0,0.000018,48,0,0.009635,0,18,18,0
YOU20250419000328,YOU20250419000328,Health,Spanish,Video,Unknown,322,0,0.000018,14,0,0.012052,0,18,18,0
YOU20250419000348,YOU20250419000348,Science,English,Image,Asia,807316,1,0.000018,1,0,0.008946,0,18,18,0
YOU20250419000362,YOU20250419000362,Sports,English,Video,North America,10174,1,0.000018,30,0,0.011508,0,18,18,0
YOU20250419000368,YOU20250419000368,Fashion,English,Poll,North America,23501,1,0.000018,35,0,0.009444,0,18,18,0
YOU20250419000369,YOU20250419000369,Education,Hindi,Video,North America,951,0,0.000018,5,0,0.00945,0,18,18,0
YOU20250419000372,YOU20250419000372,Politics,English,Text,North America,4763821,1,0.000018,43,0,0.011335,0,18,18,0
YOU20250419000374,YOU20250419000374,Health,English,Image,Asia,71,0,0.000019,20,0.000749,0.011299,1,17,18,0.001731
YOU20250419000390,YOU20250419000390,Technology,Spanish,Text,Asia,122964,1,0.000018,21,0,0.011342,0,18,18,0
YOU20250419000395,YOU20250419000395,Finance,English,Text,Unknown,86,0,0.000018,29,0,0.009764,0,18,18,0
YOU20250419000396,YOU20250419000396,Finance,Chinese,Poll,Unknown,571,0,0.000018,48,0,0.008754,0,18,18,0
YOU20250420000405,YOU20250420000405,Politics,Portuguese,Poll,North America,2064,0,0.000018,0,0,0.011122,0,18,18,0
YOU20250420000421,YOU20250420000421,Health,German,Image,Europe,7785,0,0.000018,26,0,0.01198,0,18,18,0
YOU20250420000432,YOU20250420000432,Fashion,English,Image,North America,6733,0,0.000018,19,0,0.011052,0,18,18,0
YOU20250420000433,YOU20250420000433,Finance,Arabic,Video,North America,19,0,0.000018,31,0,0.011105,0,18,18,0
YOU20250420000435,YOU20250420000435,Sports,English,Text,Europe,86724,1,0.00002,27,0.001831,0.01246,2,16,18,0.003463
YOU20250420000447,YOU20250420000447,Entertainment,Japanese,Image,North America,43,0,0.00002,8,0.001544,0.009203,2,16,18,0.003463
YOU20250420000449,YOU20250420000449,Education,Chinese,Text,North America,97,0,0.00002,34,0.001461,0.00917,2,16,18,0.003463
YOU20250420000450,YOU20250420000450,Technology,English,Image,Africa,613,0,0.000018,36,0,0.010202,0,18,18,0
YOU20250420000451,YOU20250420000451,Entertainment,English,Image,Asia,269,0,0.000018,28,0,0.012265,0,18,18,0
YOU20250420000461,YOU20250420000461,Business,English,Image,Africa,59241,1,0.000018,29,0,0.010374,0,18,18,0
YOU20250420000464,YOU20250420000464,Sports,Spanish,Image,Asia,197,0,0.000018,29,0,0.009741,0,18,18,0
YOU20250420000468,YOU20250420000468,Travel,English,Text,Europe,4769,0,0.000018,42,0,0.010269,0,18,18,0
YOU20250420000469,YOU20250420000469,Food,English,Image,Asia,109,0,0.000018,48,0,0.010999,0,18,18,0
YOU20250420000470,YOU20250420000470,Sports,French,Image,Europe,270,0,0.000018,49,0,0.010439,0,18,18,0
YOU20250420000476,YOU20250420000476,Politics,Spanish,Image,North America,1668,0,0.000018,29,0,0.009283,0,18,18,0
YOU20250420000482,YOU20250420000482,Education,English,Link,North America,14321,0,0.000018,10,0,0.00981,0,18,18,0
YOU20250420000486,YOU20250420000486,Sports,Hindi,Text,Asia,2422,1,0.000019,35,0.000795,0.010068,1,17,18,0.001731
YOU20250420000494,YOU20250420000494,Business,English,Image,Europe,224,0,0.000018,7,0,0.009621,0,18,18,0
YOU20250420000499,YOU20250420000499,Finance,English,Image,North America,31603,1,0.000018,24,0,0.011554,0,18,18,0
YOU20250420000501,YOU20250420000501,Food,English,Video,Europe,3441,1,0.000018,31,0,0.009675,0,18,18,0
YOU20250420000503,YOU20250420000503,Climate,Spanish,Image,Europe,24317,0,0.000018,31,0,0.008625,0,18,18,0
YOU20250420000506,YOU20250420000506,Gaming,English,Poll,Asia,2,0,0.000018,7,0,0.011824,0,18,18,0
YOU20250420000512,YOU20250420000512,Fashion,English,Video,North America,47669,1,0.000018,20,0,0.011575,0,18,18,0
YOU20250420000523,YOU20250420000523,Food,French,Text,Africa,17352,1,0.000018,39,0,0.009892,0,18,18,0
YOU20250420000526,YOU20250420000526,Health,Spanish,Link,Asia,3839,0,0.000018,3,0,0.011722,0,18,18,0
YOU20250420000557,YOU20250420000557,Technology,English,Text,Asia,45563,1,0.000019,6,0.00081,0.01007,1,17,18,0.001731
YOU20250420000558,YOU20250420000558,Education,English,Poll,North America,172,0,0.000018,7,0,0.011165,0,18,18,0
YOU20250420000565,YOU20250420000565,Science,English,Image,Europe,19525,0,0.000018,35,0,0.011539,0,18,18,0
YOU20250420000570,YOU20250420000570,Technology,English,Image,Asia,44,0,0.000018,25,0,0.012166,0,18,18,0
YOU20250420000572,YOU20250420000572,Entertainment,French,Video,South America,128778,0,0.000018,26,0,0.011603,0,18,18,0
YOU20250420000580,YOU20250420000580,Gaming,French,Text,Asia,58,0,0.00002,18,0.001496,0.01067,2,16,18,0.00531
YOU20250420000604,YOU20250420000604,Food,Spanish,Text,Europe,2260,0,0.000018,37,0,0.010046,0,18,18,0
YOU20250420000614,YOU20250420000614,Entertainment,English,Image,North America,5917,0,0.00002,42,0.00179,0.007676,2,16,18,0.003463
YOU20250420000617,YOU20250420000617,Technology,German,Link,Europe,20220,0,0.000018,35,0,0.012506,0,18,18,0
YOU20250420000619,YOU20250420000619,Finance,Arabic,Video,Asia,59,0,0.000018,37,0,0.011496,0,18,18,0
YOU20250420000620,YOU20250420000620,Science,English,Link,Europe,4820,0,0.000018,40,0,0.010949,0,18,18,0
YOU20250420000631,YOU20250420000631,Science,English,Poll,Asia,852,0,0.000018,25,0,0.01036,0,18,18,0
YOU20250420000635,YOU20250420000635,Entertainment,English,Image,South America,25,0,0.000018,21,0,0.011632,0,18,18,0
YOU20250420000638,YOU20250420000638,Business,English,Text,Europe,174141,0,0.000018,37,0,0.010583,0,18,18,0
YOU20250420000639,YOU20250420000639,Business,English,Text,Africa,27656,0,0.000018,41,0,0.010274,0,18,18,0
YOU20250420000647,YOU20250420000647,Climate,English,Text,Oceania,458218,0,0.000018,16,0,0.011385,0,18,18,0
YOU20250420000651,YOU20250420000651,Finance,German,Image,North America,107062,1,0.000018,44,0,0.009315,0,18,18,0
YOU20250420000666,YOU20250420000666,Politics,French,Text,North America,18,0,0.000018,21,0,0.011246,0,18,18,0
YOU20250420000670,YOU20250420000670,Travel,Arabic,Image,North America,1328,0,0.000018,18,0,0.010528,0,18,18,0
YOU20250420000676,YOU20250420000676,Education,English,Poll,North America,168418,1,0.000018,38,0,0.011102,0,18,18,0
YOU20250420000684,YOU20250420000684,Business,French,Video,Oceania,377,0,0.000018,39,0,0.012662,0,18,18,0
YOU20250420000710,YOU20250420000710,Food,Portuguese,Text,Asia,1270,0,0.000018,35,0,0.01083,0,18,18,0
YOU20250420000720,YOU20250420000720,Finance,English,Text,Asia,84,0,0.000018,5,0,0.010835,0,18,18,0
YOU20250420000728,YOU20250420000728,Entertainment,English,Text,Asia,17609,0,0.000018,29,0,0.00846,0,18,18,0
YOU20250420000736,YOU20250420000736,Fashion,English,Video,Asia,18098,1,0.000018,5,0,0.010655,0,18,18,0
YOU20250420000744,YOU20250420000744,Food,English,Link,North America,47,0,0.000018,5,0,0.010773,0,18,18,0
YOU20250420000748,YOU20250420000748,Food,English,Image,North America,1932261,1,0.000018,12,0,0.00993,0,18,18,0
YOU20250420000754,YOU20250420000754,Fashion,Korean,Text,Asia,283,0,0.000018,43,0,0.011587,0,18,18,0
YOU20250420000756,YOU20250420000756,Food,English,Link,North America,2651,0,0.000018,11,0,0.008752,0,18,18,0
YOU20250420000771,YOU20250420000771,Technology,Portuguese,Link,North America,33,0,0.000018,36,0,0.008431,0,18,18,0
YOU20250420000786,YOU20250420000786,Technology,English,Text,Asia,77,0,0.000018,17,0,0.010428,0,18,18,0
YOU20250420000790,YOU20250420000790,Climate,Spanish,Link,Asia,4332,0,0.000018,19,0,0.01208,0,18,18,0
YOU20250420000792,YOU20250420000792,Politics,Hindi,Text,Asia,105551,0,0.000018,6,0,0.009971,0,18,18,0
YOU20250420000793,YOU20250420000793,Finance,Arabic,Video,Asia,3809,0,0.000018,49,0,0.012558,0,18,18,0
YOU20250420000829,YOU20250420000829,AI/ML,Spanish,Text,North America,2808,0,0.000018,40,0,0.01061,0,18,18,0
YOU20250420000830,YOU20250420000830,Finance,French,Video,Asia,172,0,0.000018,7,0,0.010929,0,18,18,0
YOU20250420000862,YOU20250420000862,Finance,English,Text,Asia,15670,0,0.000019,5,0.000896,0.010572,1,17,18,0.001731
YOU20250420000865,YOU20250420000865,Technology,English,Text,Unknown,0,0,0.000018,46,0,0.010639,0,18,18,0
YOU20250420000867,YOU20250420000867,Climate,Spanish,Text,North America,14394,0,0.000018,25,0,0.010831,0,18,18,0
YOU20250420000869,YOU20250420000869,Politics,Portuguese,Link,Europe,16455,0,0.000018,40,0,0.009078,0,18,18,0
YOU20250420000881,YOU20250420000881,Health,Portuguese,Text,Asia,728,0,0.000019,41,0.000827,0.010391,1,17,18,0.001731
YOU20250420000882,YOU20250420000882,Science,English,Text,Europe,15979,0,0.000018,1,0,0.01094,0,18,18,0
YOU20250420000887,YOU20250420000887,Food,Portuguese,Video,Africa,3535,0,0.000018,15,0,0.011027,0,18,18,0
YOU20250420000888,YOU20250420000888,Fashion,Portuguese,Text,North America,2491,0,0.000018,7,0,0.01031,0,18,18,0
YOU20250420000908,YOU20250420000908,Business,Arabic,Image,South America,5352,1,0.000018,2,0,0.010685,0,18,18,0
YOU20250420000912,YOU20250420000912,Finance,Portuguese,Text,Asia,2350,0,0.000018,27,0,0.010983,0,18,18,0
YOU20250420000920,YOU20250420000920,Climate,Spanish,Text,Asia,274,0,0.000018,3,0,0.012477,0,18,18,0
YOU20250420000928,YOU20250420000928,Finance,English,Image,North America,70818,1,0.000018,2,0,0.011201,0,18,18,0
YOU20250420000929,YOU20250420000929,Health,English,Text,Asia,627586,1,0.000018,15,0,0.011431,0,18,18,0
YOU20250420000933,YOU20250420000933,Finance,Japanese,Image,North America,4135,0,0.000018,14,0,0.009683,0,18,18,0
YOU20250420000937,YOU20250420000937,Entertainment,Spanish,Text,South America,45987,1,0.000018,32,0,0.008943,0,18,18,0
YOU20250420000943,YOU20250420000943,Climate,English,Video,Oceania,14988,0,0.000018,6,0,0.009513,0,18,18,0
YOU20250420000955,YOU20250420000955,Gaming,English,Link,North America,9424,0,0.000018,21,0,0.011077,0,18,18,0
YOU20250420000980,YOU20250420000980,Politics,English,Video,Europe,4,0,0.000018,31,0,0.0133,0,18,18,0
YOU20250420000982,YOU20250420000982,Health,English,Text,North America,40330,1,0.000018,28,0,0.01025,0,18,18,0
YOU20250420000983,YOU20250420000983,AI/ML,French,Video,Europe,279,0,0.000019,21,0.000838,0.010098,1,17,18,0.001731
YOU20250420000988,YOU20250420000988,Business,Spanish,Text,South America,7478,0,0.000019,5,0.000883,0.008049,1,17,18,0.001731
YOU20250420000989,YOU20250420000989,Politics,Arabic,Text,North America,1665,0,0.000019,32,0.000752,0.009161,1,17,18,0.001731
YOU20250420000997,YOU20250420000997,Gaming,English,Image,North America,18936,0,0.000018,20,0,0.010867,0,18,18,0
YOU20250420001010,YOU20250420001010,Finance,English,Video,Oceania,911446,1,0.000018,44,0,0.009399,0,18,18,0
YOU20250421001028,YOU20250421001028,Climate,Spanish,Text,North America,55,0,0.000018,6,0,0.010697,0,18,18,0
YOU20250421001040,YOU20250421001040,Finance,English,Video,Africa,1103,0,0.000018,16,0,0.010718,0,18,18,0
YOU20250421001057,YOU20250421001057,Gaming,German,Text,Europe,2929,1,0.000018,38,0,0.011601,0,18,18,0
YOU20250421001065,YOU20250421001065,Gaming,English,Image,North America,14096,0,0.000018,40,0,0.010872,0,18,18,0
YOU20250421001067,YOU20250421001067,Sports,English,Poll,Asia,161565,1,0.000018,48,0,0.010086,0,18,18,0
YOU20250421001069,YOU20250421001069,Technology,English,Link,Europe,1504,0,0.000018,13,0,0.010938,0,18,18,0
YOU20250421001088,YOU20250421001088,Sports,Hindi,Text,Asia,3117,0,0.000018,25,0,0.011627,0,18,18,0
YOU20250421001089,YOU20250421001089,Health,English,Video,Europe,4331,0,0.000018,39,0,0.011081,0,18,18,0
YOU20250421001091,YOU20250421001091,Education,Spanish,Text,North America,3524,0,0.000018,40,0,0.010156,0,18,18,0
YOU20250421001104,YOU20250421001104,Education,English,Image,Europe,3743,0,0.000018,28,0,0.01109,0,18,18,0
YOU20250421001122,YOU20250421001122,Politics,English,Video,North America,21714,0,0.00002,38,0.001534,0.008221,2,16,18,0.003463
YOU20250421001132,YOU20250421001132,Climate,Spanish,Text,Asia,420,0,0.000018,13,0,0.012241,0,18,18,0
YOU20250421001150,YOU20250421001150,Food,English,Video,North America,58,0,0.000019,24,0.000825,0.011152,1,17,18,0.001731
YOU20250421001154,YOU20250421001154,Fashion,English,Text,Asia,20969,0,0.000019,29,0.000935,0.010767,1,17,18,0.001731
YOU20250421001155,YOU20250421001155,Politics,Japanese,Video,Europe,244,0,0.000018,18,0,0.009064,0,18,18,0
YOU20250421001167,YOU20250421001167,Travel,Korean,Image,North America,768,0,0.000019,49,0.0008,0.010581,1,17,18,0.001731
YOU20250421001170,YOU20250421001170,Entertainment,French,Text,Europe,339,0,0.000018,22,0,0.009352,0,18,18,0
YOU20250421001188,YOU20250421001188,Fashion,Japanese,Text,Europe,3540,0,0.000021,16,0.002506,0.010318,3,15,18,0.005194
YOU20250421001191,YOU20250421001191,Climate,English,Poll,Asia,1080,0,0.000019,36,0.000724,0.009494,1,17,18,0.001731
YOU20250421001194,YOU20250421001194,AI/ML,Japanese,Video,North America,2026,0,0.000019,7,0.000935,0.010659,1,17,18,0.001731
YOU20250421001214,YOU20250421001214,Business,English,Text,Africa,96201,1,0.000018,33,0,0.010212,0,18,18,0
YOU20250421001216,YOU20250421001216,Business,Japanese,Link,Asia,9,0,0.000019,1,0.000822,0.011032,1,17,18,0.001731
YOU20250421001221,YOU20250421001221,Food,English,Image,North America,728,0,0.000018,38,0,0.010704,0,18,18,0
YOU20250421001225,YOU20250421001225,Finance,English,Link,Asia,2233,0,0.000019,1,0.000854,0.011238,1,17,18,0.002655
YOU20250421001241,YOU20250421001241,Politics,English,Image,North America,77,0,0.000019,3,0.000762,0.010679,1,17,18,0.001731
YOU20250421001248,YOU20250421001248,AI/ML,Arabic,Image,Asia,15389,1,0.000019,29,0.000719,0.010775,1,17,18,0.001731
YOU20250421001250,YOU20250421001250,Climate,English,Text,North America,197,0,0.000018,35,0,0.011027,0,18,18,0
YOU20250421001259,YOU20250421001259,Health,Portuguese,Text,North America,203448,1,0.000018,34,0,0.009798,0,17,17,0
YOU20250421001273,YOU20250421001273,Education,English,Video,North America,2429,0,0.000018,8,0,0.011842,0,18,18,0
YOU20250421001275,YOU20250421001275,Business,English,Poll,Asia,80,0,0.000018,47,0,0.010916,0,18,18,0
YOU20250421001289,YOU20250421001289,Travel,English,Video,Asia,61,0,0.000018,47,0,0.009861,0,18,18,0
YOU20250421001295,YOU20250421001295,Finance,English,Image,North America,4849,0,0.000018,41,0,0.010025,0,18,18,0
YOU20250421001296,YOU20250421001296,Science,English,Text,North America,40812,0,0.000018,1,0,0.011656,0,18,18,0
YOU20250421001306,YOU20250421001306,Business,English,Poll,Asia,30030,1,0.000018,15,0,0.010649,0,18,18,0
YOU20250421001323,YOU20250421001323,Entertainment,English,Video,North America,135,0,0.000018,11,0,0.011713,0,18,18,0
YOU20250421001343,YOU20250421001343,Technology,Portuguese,Text,Oceania,13487,0,0.000018,32,0,0.009238,0,18,18,0
YOU20250421001347,YOU20250421001347,Fashion,English,Text,North America,50358,1,0.000018,31,0,0.009747,0,18,18,0
YOU20250421001370,YOU20250421001370,Business,Hindi,Link,Europe,4195,0,0.000018,16,0,0.011179,0,18,18,0
YOU20250421001372,YOU20250421001372,Finance,English,Image,North America,107,0,0.000018,0,0,0.009737,0,18,18,0
YOU20250421001376,YOU20250421001376,Science,Hindi,Video,Europe,0,0,0.000018,1,0,0.010499,0,18,18,0
YOU20250421001379,YOU20250421001379,Business,English,Image,Europe,192,0,0.000018,3,0,0.009085,0,18,18,0
YOU20250421001383,YOU20250421001383,Travel,Arabic,Text,Asia,326,0,0.000018,36,0,0.010793,0,18,18,0
YOU20250421001386,YOU20250421001386,Travel,English,Text,Europe,1790,0,0.000018,9,0,0.011384,0,18,18,0
YOU20250421001387,YOU20250421001387,Politics,Spanish,Link,Europe,1963,0,0.000018,1,0,0.010412,0,18,18,0
YOU20250421001388,YOU20250421001388,Travel,English,Link,Asia,30646,1,0.000019,1,0.000801,0.010237,1,17,18,0.001731
YOU20250421001391,YOU20250421001391,AI/ML,English,Text,Asia,16208,0,0.000018,39,0,0.012316,0,18,18,0
YOU20250421001397,YOU20250421001397,AI/ML,English,Text,Asia,113723,1,0.00002,44,0.001846,0.010437,2,16,18,0.004386
YOU20250421001408,YOU20250421001408,Travel,English,Image,North America,26975,0,0.000018,44,0,0.011131,0,18,18,0
YOU20250421001411,YOU20250421001411,Education,Portuguese,Image,North America,163,0,0.000019,3,0.000829,0.010875,1,17,18,0.001731
YOU20250421001436,YOU20250421001436,Politics,English,Poll,North America,1482,0,0.000019,14,0.000906,0.010607,1,17,18,0.001731
YOU20250421001442,YOU20250421001442,Gaming,English,Image,North America,2178,0,0.000018,2,0,0.011024,0,18,18,0
YOU20250421001457,YOU20250421001457,Finance,English,Text,North America,145,0,0.000018,21,0,0.009181,0,18,18,0
YOU20250421001470,YOU20250421001470,Health,French,Image,Europe,8,0,0.000018,31,0,0.012619,0,18,18,0
YOU20250421001472,YOU20250421001472,Business,Hindi,Text,North America,3356,0,0.000018,21,0,0.009745,0,18,18,0
YOU20250421001474,YOU20250421001474,Gaming,English,Image,Unknown,429,0,0.000018,18,0,0.011005,0,18,18,0
YOU20250421001483,YOU20250421001483,Entertainment,English,Text,Europe,1831,0,0.000019,31,0.000896,0.009284,1,17,18,0.001731
YOU20250421001496,YOU20250421001496,Travel,English,Video,Asia,102,0,0.000019,39,0.000762,0.009976,1,17,18,0.001731
YOU20250421001540,YOU20250421001540,Finance,Hindi,Text,Asia,143,0,0.000019,8,0.000908,0.009391,1,17,18,0.001731
YOU20250421001542,YOU20250421001542,Technology,German,Image,Europe,306,0,0.000018,35,0,0.009627,0,18,18,0
YOU20250421001563,YOU20250421001563,Climate,English,Link,Europe,87899,0,0.000019,6,0.0008,0.009938,1,17,18,0.001731
YOU20250421001570,YOU20250421001570,Health,Spanish,Text,Asia,2024,0,0.000018,24,0,0.011343,0,18,18,0
YOU20250421001578,YOU20250421001578,Climate,German,Text,Asia,242,0,0.000018,15,0,0.010807,0,18,18,0
YOU20250421001582,YOU20250421001582,Health,French,Video,North America,155182,0,0.000018,39,0,0.013234,0,18,18,0
YOU20250421001602,YOU20250421001602,Politics,English,Image,South America,518,0,0.000018,43,0,0.009743,0,18,18,0
YOU20250421001610,YOU20250421001610,Food,Chinese,Image,North America,35,0,0.000018,40,0,0.009606,0,18,18,0
YOU20250421001638,YOU20250421001638,Fashion,Spanish,Video,Unknown,21,0,0.000019,27,0.000764,0.009645,1,17,18,0.001731
YOU20250421001656,YOU20250421001656,Entertainment,English,Link,North America,1887,1,0.000018,3,0,0.012144,0,18,18,0
YOU20250421001657,YOU20250421001657,Finance,Korean,Video,Africa,110642,1,0.000018,3,0,0.010379,0,18,18,0
YOU20250421001660,YOU20250421001660,Entertainment,English,Text,North America,2969,0,0.000019,40,0.000752,0.008638,1,17,18,0.001731
YOU20250421001661,YOU20250421001661,Finance,English,Text,Europe,13659,0,0.000018,15,0,0.009001,0,18,18,0
YOU20250421001662,YOU20250421001662,AI/ML,Spanish,Video,Europe,4054,0,0.000018,44,0,0.010911,0,18,18,0
YOU20250421001683,YOU20250421001683,Technology,English,Link,North America,108977,1,0.000018,37,0,0.008854,0,18,18,0
YOU20250421001686,YOU20250421001686,Entertainment,English,Image,Asia,1947,0,0.000018,15,0,0.008826,0,18,18,0
YOU20250421001697,YOU20250421001697,Technology,Chinese,Image,North America,674,0,0.000018,5,0,0.010624,0,18,18,0
YOU20250421001701,YOU20250421001701,AI/ML,French,Text,North America,3338,0,0.000018,25,0,0.012894,0,18,18,0
YOU20250421001702,YOU20250421001702,Technology,English,Image,Europe,649,0,0.000019,25,0.000835,0.010533,1,17,18,0.001731
YOU20250421001706,YOU20250421001706,Technology,English,Link,North America,9,0,0.000019,18,0.000871,0.010367,1,17,18,0.002655
YOU20250421001727,YOU20250421001727,Finance,English,Text,North America,6806,0,0.000018,34,0,0.010786,0,18,18,0
YOU20250421001733,YOU20250421001733,Fashion,Arabic,Image,Asia,744,0,0.000018,41,0,0.010535,0,18,18,0
YOU20250421001738,YOU20250421001738,Finance,English,Link,North America,708,0,0.000018,12,0,0.007784,0,18,18,0
YOU20250421001750,YOU20250421001750,Food,Portuguese,Image,North America,47913,0,0.000018,3,0,0.011694,0,18,18,0
YOU20250421001771,YOU20250421001771,Health,English,Video,Europe,5520,0,0.000018,17,0,0.010612,0,18,18,0
YOU20250421001798,YOU20250421001798,Gaming,Japanese,Image,North America,1071,1,0.000019,1,0.000843,0.011329,1,17,18,0.001731
YOU20250421001800,YOU20250421001800,Climate,Korean,Image,Asia,758,0,0.000018,31,0,0.011846,0,18,18,0
YOU20250421001804,YOU20250421001804,Finance,Japanese,Text,Europe,35,0,0.000018,7,0,0.010878,0,18,18,0
YOU20250421001832,YOU20250421001832,Travel,Spanish,Text,North America,3042,0,0.000019,41,0.000915,0.011293,1,17,18,0.002655
YOU20250421001836,YOU20250421001836,Climate,English,Image,Asia,23978,0,0.000019,6,0.0008,0.010533,1,17,18,0.001731
YOU20250421001853,YOU20250421001853,Business,English,Text,Europe,280,0,0.000019,17,0.001006,0.010608,1,17,18,0.001731
YOU20250421001867,YOU20250421001867,Technology,Arabic,Text,Asia,27871,0,0.000018,17,0,0.010889,0,18,18,0
YOU20250421001878,YOU20250421001878,Politics,English,Image,Asia,678693,1,0.000018,16,0,0.011082,0,18,18,0
YOU20250421001896,YOU20250421001896,Fashion,English,Image,North America,1438625,1,0.000019,25,0.000936,0.012279,1,17,18,0.001731
YOU20250421001919,YOU20250421001919,Travel,German,Text,North America,251,0,0.000018,47,0,0.010973,0,18,18,0
YOU20250421001925,YOU20250421001925,AI/ML,Arabic,Image,Asia,7589,0,0.000018,40,0,0.011532,0,18,18,0
YOU20250421001928,YOU20250421001928,Food,English,Image,Asia,3460,0,0.000019,44,0.000841,0.011637,1,17,18,0.001731
YOU20250421001931,YOU20250421001931,Climate,English,Text,North America,3965,0,0.000018,25,0,0.011128,0,18,18,0
