Id,Label,platform,hour_of_day,day_of_week,is_weekend,user_id,followers,account_age_days,verified,topic,language,content_length,media_type,num_hashtags,sentiment_category,sentiment_positive,sentiment_negative,sentiment_neutral,toxicity_score,location,hour_sin,hour_cos,day_sin,day_cos,has_media,many_hashtags,long_content,sentiment_intensity,high_toxicity,popularity,Degree,Weighted Degree,Authority,Hub,pageranks,componentnumber,modularity_class,clustering,triangles,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
TIK20250419000185,TIK20250419000185,TikTok,17,5,1,user_414286,36221,191,0,Finance,English,11,Text,5,Negative,0.032,0.658,0.31,51.7,North America,-0.965926,-0.258819,-0.974928,-0.222521,0,1,0,0.658,0,0,7,9.6,0.000027,0.000027,0.000099,0,33,0.142857,3,0.341364,20,0.078612,0.085885,6343.678643
TIK20250419000198,TIK20250419000198,TikTok,17,5,1,user_39838,142,1052,0,Finance,Portuguese,127,Link,1,Neutral,0.237,0.016,0.746,0,Europe,-0.965926,-0.258819,-0.974928,-0.222521,1,0,0,0.746,0,0,6,9.6,0.000151,0.000151,0.000084,0,27,0.066667,1,0.332854,16,0.092756,0.101279,18305.427022
TIK20250419000206,TIK20250419000206,TikTok,17,5,1,user_78867,1643,1455,0,Finance,French,106,Image,5,Positive,0.614,0.081,0.304,0,Asia,-0.965926,-0.258819,-0.974928,-0.222521,1,1,0,0.614,0,0,7,9.6,0.000002,0.000002,0.000096,0,23,0.047619,1,0.402702,17,0.08725,0.094438,6570.279821
TIK20250419000211,TIK20250419000211,TikTok,17,5,1,user_213052,651,1801,0,Entertainment,English,42,Image,3,Neutral,0.094,0.277,0.63,23.1,Asia,-0.965926,-0.258819,-0.974928,-0.222521,1,0,0,0.63,0,0,8,8.4,0.000001,0.000001,0.000107,0,25,0.142857,4,0.467676,18,0.079996,0.087279,2571.755939
TIK20250419000219,TIK20250419000219,TikTok,17,5,1,user_443813,106,2727,0,Science,French,15,Video,0,Positive,0.6,0.134,0.266,38.2,North America,-0.965926,-0.258819,-0.974928,-0.222521,1,0,0,0.6,0,0,7,9.6,0.000001,0.000001,0.000095,0,29,0.047619,1,0.431252,17,0.092296,0.100918,53131.623355
TIK20250419000222,TIK20250419000222,TikTok,18,5,1,user_356268,2173,3477,0,Travel,Spanish,109,Text,2,Negative,0.012,0.785,0.203,50.8,Asia,-1,-0,-0.974928,-0.222521,0,0,0,0.785,0,0,8,8.4,0.000013,0.000013,0.000108,0,12,0.071429,2,0.46825,16,0.095555,0.103366,79130.552166
TIK20250419000237,TIK20250419000237,TikTok,18,5,1,user_474932,21257,2719,0,Technology,English,145,Poll,1,Positive,0.653,0.037,0.31,7.5,North America,-1,-0,-0.974928,-0.222521,1,0,1,0.653,0,1,7,8.4,0.000004,0.000004,0.000094,0,30,0.285714,6,0.436145,18,0.080058,0.087322,6835.873091
TIK20250419000244,TIK20250419000244,TikTok,18,5,1,user_64245,39501,3349,0,Sports,French,45,Poll,1,Neutral,0.06,0.206,0.734,37.7,Unknown,-1,-0,-0.974928,-0.222521,1,0,0,0.734,0,0,9,12.1,0.000362,0.000362,0.000116,0,14,0.083333,3,0.648154,17,0.092326,0.103228,411965.311412
TIK20250419000271,TIK20250419000271,TikTok,19,5,1,user_444533,10444,1473,0,AI/ML,English,79,Image,1,Positive,0.793,0.02,0.187,15.3,Africa,-0.965926,0.258819,-0.974928,-0.222521,1,0,0,0.793,0,1,8,8.4,0,0,0.000108,0,3,0.071429,2,0.4508,19,0.078612,0.086017,8660.700015
TIK20250419000314,TIK20250419000314,TikTok,20,5,1,user_192981,6184,2283,0,Gaming,English,114,Video,1,Positive,0.77,0.113,0.117,0.8,Europe,-0.866025,0.5,-0.974928,-0.222521,1,0,0,0.77,0,1,6,8.4,0,0,0.000084,0,24,0.133333,2,0.344106,18,0.080563,0.086683,1065.822171
TIK20250419000358,TIK20250419000358,TikTok,21,5,1,user_133876,62598,1060,0,Science,English,87,Text,1,Neutral,0.132,0.243,0.625,33.8,North America,-0.707107,0.707107,-0.974928,-0.222521,0,0,0,0.625,0,1,7,9.6,0.00007,0.00007,0.000091,0,6,0.142857,3,0.521303,17,0.100592,0.108593,35812.062483
TIK20250419000367,TIK20250419000367,TikTok,21,5,1,user_383215,977,1554,0,Technology,English,27,Text,2,Negative,0.078,0.823,0.099,72.6,Europe,-0.707107,0.707107,-0.974928,-0.222521,0,0,0,0.823,1,0,7,8.4,0,0,0.000094,0,15,0.190476,4,0.423655,17,0.084515,0.091228,2126.684054
TIK20250419000373,TIK20250419000373,TikTok,22,5,1,user_191321,976,3090,0,Fashion,English,111,Image,3,Positive,0.755,0.013,0.232,0,Unknown,-0.5,0.866025,-0.974928,-0.222521,1,0,0,0.755,0,0,7,8.4,0,0,0.000094,0,15,0.142857,3,0.429627,17,0.087692,0.094514,1924.936796
TIK20250420000417,TIK20250420000417,TikTok,8,6,1,user_180809,238,599,0,Sports,Japanese,36,Text,2,Positive,0.874,0.023,0.103,12.1,Asia,0.866025,-0.5,-0.781831,0.62349,0,0,0,0.874,0,0,8,9.6,0.000003,0.000003,0.000109,0,5,0,0,0.448753,19,0.082654,0.090235,13930.70182
TIK20250420000425,TIK20250420000425,TikTok,10,6,1,user_62365,3180,608,0,Sports,German,148,Video,1,Neutral,0.234,0,0.849,0,Africa,0.5,-0.866025,-0.781831,0.62349,1,0,1,0.849,0,0,7,9.6,0,0,0.000097,0,16,0,0,0.396503,19,0.081952,0.088742,3352.498191
TIK20250420000428,TIK20250420000428,TikTok,10,6,1,user_263764,30405,1281,0,AI/ML,Spanish,55,Image,2,Positive,0.683,0.042,0.275,0,North America,0.5,-0.866025,-0.781831,0.62349,1,0,0,0.683,0,1,7,8.4,0.000013,0.000013,0.000096,0,19,0,0,0.377546,21,0.081039,0.088075,4089.408887
TIK20250420000438,TIK20250420000438,TikTok,11,6,1,user_111605,211,2031,0,Education,English,103,Text,3,Positive,0.695,0.145,0.16,0,North America,0.258819,-0.965926,-0.781831,0.62349,0,0,0,0.695,0,0,4,8.4,0.000023,0.000023,0.000062,0,13,0.166667,1,0.188982,19,0.081817,0.087919,346.272068
TIK20250420000463,TIK20250420000463,TikTok,11,6,1,user_335132,349,1624,0,Gaming,Portuguese,94,Image,2,Positive,0.849,0.027,0.124,9.6,Unknown,0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.849,0,0,7,8.4,0.000004,0.000004,0.000096,0,9,0.142857,3,0.401152,17,0.094603,0.101773,12612.045617
TIK20250420000465,TIK20250420000465,TikTok,11,6,1,user_415894,434,1582,0,AI/ML,Chinese,92,Video,1,Positive,0.711,0.139,0.149,36.8,North America,0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.711,0,0,8,8.4,0.000043,0.000043,0.000109,0,21,0.071429,2,0.456684,17,0.094392,0.103965,219926.290989
TIK20250420000467,TIK20250420000467,TikTok,11,6,1,user_317790,634,3075,0,Entertainment,English,56,Image,3,Positive,0.904,0.083,0.013,2.5,Asia,0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.904,0,0,7,8.4,0,0,0.000096,0,25,0.238095,5,0.368546,17,0.085569,0.092806,28723.90969
TIK20250420000477,TIK20250420000477,TikTok,12,6,1,user_17270,10865,1790,0,Entertainment,English,70,Link,0,Neutral,0.136,0.253,0.612,2.6,North America,0,-1,-0.781831,0.62349,1,0,0,0.612,0,1,6,8.4,0,0,0.000084,0,3,0.066667,1,0.322795,19,0.075971,0.082803,4317.351852
TIK20250420000504,TIK20250420000504,TikTok,13,6,1,user_73207,12,1548,0,Fashion,English,101,Video,2,Positive,0.889,0.09,0.021,8.1,North America,-0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.889,0,0,8,8.4,0,0,0.000108,0,31,0.142857,4,0.455357,19,0.087084,0.09469,32733.656685
TIK20250420000516,TIK20250420000516,TikTok,13,6,1,user_67949,545,240,0,Travel,English,72,Image,3,Neutral,0.277,0,0.746,0,North America,-0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.746,0,0,5,8.4,0,0,0.000074,0,4,0.2,2,0.251948,17,0.092084,0.099791,10484.38303
TIK20250420000519,TIK20250420000519,TikTok,13,6,1,user_96031,11170,734,0,Food,English,50,Link,2,Negative,0.036,0.854,0.109,48.6,Europe,-0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.854,0,0,7,8.4,0,0,0.000098,0,3,0.095238,2,0.3794,19,0.076172,0.082716,1457.642336
TIK20250420000520,TIK20250420000520,TikTok,13,6,1,user_431954,13311,3388,0,Technology,Portuguese,32,Text,1,Positive,0.895,0.016,0.09,6.7,Oceania,-0.258819,-0.965926,-0.781831,0.62349,0,0,0,0.895,0,0,7,8.4,0,0,0.000095,0,18,0.047619,1,0.417488,18,0.08627,0.093598,16092.970449
TIK20250420000521,TIK20250420000521,TikTok,13,6,1,user_114683,1118,813,0,Business,English,142,Video,2,Negative,0.024,0.658,0.318,44.4,Europe,-0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.658,0,0,8,10.9,0.000001,0.000001,0.000111,0,30,0.035714,1,0.413204,17,0.095074,0.103577,384106.657209
TIK20250420000524,TIK20250420000524,TikTok,13,6,1,user_217873,5044,56,0,Business,English,77,Poll,4,Negative,0.143,0.94,0,65.2,Europe,-0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.94,0,0,8,8.4,0.000001,0.000001,0.000107,0,26,0.178571,5,0.481338,18,0.089047,0.097031,41195.146577
TIK20250420000531,TIK20250420000531,TikTok,13,6,1,user_162159,8320,838,0,Education,English,74,Video,1,Neutral,0.299,0,0.844,0,Asia,-0.258819,-0.965926,-0.781831,0.62349,1,0,0,0.844,0,1,5,8.4,0,0,0.000074,0,14,0.1,1,0.235313,19,0.079995,0.086326,495.270217
TIK20250420000534,TIK20250420000534,TikTok,14,6,1,user_17343,90,203,0,Fashion,English,43,Text,1,Positive,0.76,0.066,0.173,0,South America,-0.5,-0.866025,-0.781831,0.62349,0,0,0,0.76,0,0,7,8.4,0.000002,0.000002,0.000097,0,29,0.238095,5,0.381142,17,0.087412,0.095157,23001.275304
TIK20250420000538,TIK20250420000538,TikTok,14,6,1,user_263975,948,3046,0,AI/ML,Spanish,100,Text,0,Negative,0.018,0.674,0.308,68.4,Africa,-0.5,-0.866025,-0.781831,0.62349,0,0,0,0.674,0,0,7,8.4,0.000002,0.000002,0.000096,0,15,0.095238,2,0.394404,16,0.092776,0.100318,58088.331651
TIK20250420000547,TIK20250420000547,TikTok,14,6,1,user_365403,3959,355,0,Sports,French,29,Link,3,Positive,0.679,0.126,0.195,0,Asia,-0.5,-0.866025,-0.781831,0.62349,1,0,0,0.679,0,1,8,9.6,0,0,0.000108,0,16,0.107143,3,0.451921,21,0.077398,0.084534,11164.698291
TIK20250420000564,TIK20250420000564,TikTok,14,6,1,user_324566,99,3267,0,Fashion,Portuguese,38,Image,1,Neutral,0.16,0.112,0.728,0,North America,-0.5,-0.866025,-0.781831,0.62349,1,0,0,0.728,0,0,8,8.4,0.000003,0.000003,0.000105,0,29,0.214286,6,0.538321,17,0.090102,0.097381,23677.754672
TIK20250420000583,TIK20250420000583,TikTok,15,6,1,user_110694,110289,247,0,Fashion,German,127,Image,1,Negative,0.054,0.704,0.242,74.4,Europe,-0.707107,-0.707107,-0.781831,0.62349,1,0,0,0.704,1,1,8,8.4,0.00286,0.00286,0.000102,0,32,0.107143,3,0.606925,18,0.090459,0.098985,151872.662981
TIK20250420000590,TIK20250420000590,TikTok,15,6,1,user_261419,170,1623,0,Food,English,127,Text,0,Positive,0.906,0.138,0,3.3,North America,-0.707107,-0.707107,-0.781831,0.62349,0,0,0,0.906,0,0,6,8.4,0.000145,0.000145,0.000084,0,27,0.333333,5,0.340966,18,0.082679,0.089663,197.69741
TIK20250420000598,TIK20250420000598,TikTok,15,6,1,user_433378,662,3491,0,Politics,English,147,Image,1,Negative,0.119,0.815,0.066,75.9,North America,-0.707107,-0.707107,-0.781831,0.62349,1,0,1,0.815,1,0,8,8.4,0.000001,0.000001,0.000105,0,25,0.107143,3,0.517491,18,0.082405,0.090538,12093.188218
TIK20250420000612,TIK20250420000612,TikTok,16,6,1,user_16163,405,1254,0,Climate,Portuguese,125,Video,2,Positive,0.634,0.098,0.268,17.3,North America,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.634,0,0,8,8.4,0.000002,0.000002,0.000105,0,21,0.071429,2,0.540725,18,0.085108,0.092543,6308.008475
TIK20250420000616,TIK20250420000616,TikTok,16,6,1,user_277912,213,1978,0,Climate,English,83,Video,2,Neutral,0.116,0.07,0.814,0,Asia,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.814,0,0,6,8.4,0.000034,0.000034,0.000084,0,13,0.066667,1,0.357382,18,0.084343,0.09161,5423.88251
TIK20250420000621,TIK20250420000621,TikTok,16,6,1,user_467676,180,1535,0,Climate,German,96,Image,0,Negative,0.02,0.655,0.325,41.8,Oceania,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.655,0,0,6,8.4,0.000901,0.000901,0.000084,0,27,0.066667,1,0.357537,19,0.083314,0.091232,825.481113
TIK20250420000629,TIK20250420000629,TikTok,16,6,1,user_379439,130,2699,0,Entertainment,Portuguese,15,Image,2,Neutral,0.078,0.236,0.686,16,Europe,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.686,0,0,6,8.4,0.000473,0.000473,0.000084,0,22,0.066667,1,0.340603,17,0.086714,0.093743,4279.081837
TIK20250420000633,TIK20250420000633,TikTok,16,6,1,user_487207,1463,780,0,Technology,English,12,Image,4,Neutral,0.295,0,0.827,0,Asia,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.827,0,0,6,8.4,0.000043,0.000043,0.000087,0,0,0.066667,1,0.279444,18,0.088238,0.096411,33503.510511
TIK20250420000634,TIK20250420000634,TikTok,16,6,1,user_420056,133,843,0,Sports,Spanish,69,Poll,2,Neutral,0.143,0.141,0.716,20.5,Europe,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.716,0,0,7,9.6,0.000565,0.000565,0.000096,0,22,0.285714,6,0.403028,17,0.089878,0.097094,8709.780656
TIK20250420000659,TIK20250420000659,TikTok,16,6,1,user_249451,22,2054,0,Entertainment,English,124,Image,4,Positive,0.814,0.04,0.145,0,North America,-0.866025,-0.5,-0.781831,0.62349,1,0,0,0.814,0,0,7,8.4,0,0,0.000098,0,31,0.190476,4,0.328791,19,0.085393,0.092938,6712.340966
TIK20250420000671,TIK20250420000671,TikTok,17,6,1,user_264108,7006,308,0,Health,Portuguese,100,Text,0,Positive,0.854,0.039,0.107,8.5,Asia,-0.965926,-0.258819,-0.781831,0.62349,0,0,0,0.854,0,1,8,8.4,0,0,0.000111,0,24,0.178571,5,0.412516,16,0.094982,0.102905,99024.074876
TIK20250420000678,TIK20250420000678,TikTok,17,6,1,user_463900,609,390,0,Finance,English,11,Link,0,Negative,0.125,0.825,0.05,42.1,Asia,-0.965926,-0.258819,-0.781831,0.62349,1,0,0,0.825,0,1,7,9.6,0,0,0.000096,0,25,0,0,0.38207,20,0.079196,0.086567,2887.82113
TIK20250420000683,TIK20250420000683,TikTok,17,6,1,user_470090,225,544,0,Travel,German,72,Text,2,Neutral,0.134,0.131,0.735,18.4,North America,-0.965926,-0.258819,-0.781831,0.62349,0,0,0,0.735,0,0,5,8.4,0.000007,0.000007,0.000074,0,5,0.1,1,0.246254,20,0.078906,0.085545,4240.461927
TIK20250420000687,TIK20250420000687,TikTok,17,6,1,user_163565,207,3383,0,Travel,English,78,Image,2,Neutral,0.167,0.2,0.634,14.9,Europe,-0.965926,-0.258819,-0.781831,0.62349,1,0,0,0.634,0,0,7,8.4,0.000061,0.000061,0.000096,0,13,0.095238,2,0.39953,18,0.082166,0.089031,8783.920637
TIK20250420000693,TIK20250420000693,TikTok,17,6,1,user_274722,8207,2996,0,Business,Spanish,17,Text,2,Neutral,0.267,0.074,0.659,13.7,North America,-0.965926,-0.258819,-0.781831,0.62349,0,0,0,0.659,0,0,6,8.4,0.000001,0.000001,0.000087,0,14,0.066667,1,0.289886,18,0.083231,0.09064,7640.910904
TIK20250420000695,TIK20250420000695,TikTok,17,6,1,user_356171,1294,1590,0,Sports,English,120,Text,3,Positive,0.813,0.038,0.149,13.1,North America,-0.965926,-0.258819,-0.781831,0.62349,0,0,0,0.813,0,0,6,9.6,0.000002,0.000002,0.000086,0,2,0,0,0.270656,18,0.087422,0.094857,9196.95369
TIK20250420000704,TIK20250420000704,TikTok,17,6,1,user_366390,60786,2983,1,Politics,Portuguese,68,Video,2,Neutral,0.221,0.176,0.603,12.5,North America,-0.965926,-0.258819,-0.781831,0.62349,1,0,0,0.603,0,0,8,11.4,0.00006,0.00006,0.000105,0,6,0.035714,1,0.495189,19,0.09106,0.097819,3462.337107
TIK20250420000724,TIK20250420000724,TikTok,18,6,1,user_196736,23939,560,0,Health,English,79,Poll,3,Neutral,0.272,0,0.756,4.1,North America,-1,-0,-0.781831,0.62349,1,0,0,0.756,0,0,6,8.4,0.000002,0.000002,0.000087,0,19,0.133333,2,0.286245,21,0.074025,0.080062,5378.752087
TIK20250420000731,TIK20250420000731,TikTok,18,6,1,user_199237,3862,1097,0,Climate,Spanish,35,Image,5,Negative,0.072,0.896,0.033,93,Europe,-1,-0,-0.781831,0.62349,1,1,0,0.896,1,0,7,8.4,0,0,0.000097,0,16,0.142857,3,0.39365,20,0.080285,0.087509,20390.189631
TIK20250420000774,TIK20250420000774,TikTok,18,6,1,user_200863,132,2644,0,Gaming,English,61,Text,1,Positive,0.627,0.059,0.315,0,South America,-1,-0,-0.781831,0.62349,0,0,0,0.627,0,0,8,8.4,0.000384,0.000384,0.000108,0,22,0.071429,2,0.473059,17,0.086546,0.09388,3470.727757
TIK20250420000781,TIK20250420000781,TikTok,19,6,1,user_321557,2920,2057,0,Entertainment,Arabic,48,Poll,2,Positive,0.716,0.047,0.237,0,North America,-0.965926,0.258819,-0.781831,0.62349,1,0,0,0.716,0,0,7,8.4,0,0,0.000099,0,10,0,0,0.34409,19,0.088357,0.0965,41581.698519
TIK20250420000799,TIK20250420000799,TikTok,19,6,1,user_229924,3607,1109,0,Travel,English,30,Link,2,Negative,0.037,0.806,0.157,59.1,Europe,-0.965926,0.258819,-0.781831,0.62349,1,0,0,0.806,0,0,7,8.4,0,0,0.000093,0,16,0.333333,7,0.448068,18,0.078354,0.085322,4855.847057
TIK20250420000804,TIK20250420000804,TikTok,19,6,1,user_60498,2368,1885,0,Business,German,29,Text,4,Positive,0.709,0.038,0.253,14.8,Europe,-0.965926,0.258819,-0.781831,0.62349,0,0,0,0.709,0,0,7,8.4,0.000038,0.000038,0.000098,0,1,0.095238,2,0.352033,19,0.083385,0.09067,12174.642742
TIK20250420000814,TIK20250420000814,TikTok,19,6,1,user_211985,54974,3405,0,Education,English,86,Image,2,Negative,0.028,0.765,0.206,41.1,Asia,-0.965926,0.258819,-0.781831,0.62349,1,0,0,0.765,0,1,7,8.4,0.000093,0.000093,0.000089,0,6,0.190476,4,0.557366,19,0.093955,0.102112,29207.169768
TIK20250420000828,TIK20250420000828,TikTok,19,6,1,user_491793,155,3571,0,Fashion,English,39,Image,2,Positive,0.767,0.144,0.09,20.3,Europe,-0.965926,0.258819,-0.781831,0.62349,1,0,0,0.767,0,0,7,8.4,0.00003,0.00003,0.000097,0,27,0.285714,6,0.398837,15,0.102987,0.111769,188519.621977
TIK20250420000836,TIK20250420000836,TikTok,19,6,1,user_432423,2249,3619,0,Business,Hindi,84,Video,2,Neutral,0.1,0.071,0.829,7.9,North America,-0.965926,0.258819,-0.781831,0.62349,1,0,0,0.829,0,0,7,9.6,0.000044,0.000044,0.000096,0,1,0.047619,1,0.394036,15,0.105341,0.115046,262854.767318
TIK20250420000851,TIK20250420000851,TikTok,20,6,1,user_203147,1894,1774,0,Climate,German,113,Image,1,Positive,0.948,0.055,0,0,Asia,-0.866025,0.5,-0.781831,0.62349,1,0,0,0.948,0,0,8,8.4,0.000005,0.000005,0.000107,0,23,0.071429,2,0.481012,18,0.095077,0.104334,163171.36932
TIK20250420000855,TIK20250420000855,TikTok,20,6,1,user_201913,230,2756,0,Politics,English,94,Image,2,Positive,0.912,0.121,0,0,North America,-0.866025,0.5,-0.781831,0.62349,1,0,0,0.912,0,0,6,8.4,0.000005,0.000005,0.000085,0,5,0.133333,2,0.330781,19,0.080869,0.087685,2701.069672
TIK20250420000878,TIK20250420000878,TikTok,20,6,1,user_331132,76445,573,1,Gaming,English,26,Text,2,Negative,0.121,0.622,0.258,65.9,Europe,-0.866025,0.5,-0.781831,0.62349,0,0,0,0.622,0,1,6,11.4,0.000264,0.000264,0.000082,0,32,0.066667,1,0.37414,16,0.094141,0.101168,4612.770538
TIK20250420000883,TIK20250420000883,TikTok,20,6,1,user_31372,4,311,0,Health,English,145,Video,0,Positive,0.82,0.088,0.092,23.5,Europe,-0.866025,0.5,-0.781831,0.62349,1,0,1,0.82,0,0,7,8.4,0.000014,0.000014,0.000097,0,17,0.190476,4,0.39567,18,0.081876,0.088816,7788.935282
TIK20250420000895,TIK20250420000895,TikTok,20,6,1,user_190659,183,2211,0,Fashion,French,85,Video,2,Positive,0.646,0.041,0.313,5.2,Europe,-0.866025,0.5,-0.781831,0.62349,1,0,0,0.646,0,0,7,8.4,0.000897,0.000897,0.000096,0,27,0,0,0.404521,18,0.08896,0.097886,9353.906546
TIK20250420000907,TIK20250420000907,TikTok,21,6,1,user_262384,47721,1636,0,Entertainment,Portuguese,114,Text,3,Positive,0.787,0.078,0.136,1.6,Asia,-0.707107,0.707107,-0.781831,0.62349,0,0,0,0.787,0,1,8,8.4,0.000173,0.000173,0.00011,0,6,0.107143,3,0.430478,20,0.083007,0.091046,10519.019435
TIK20250420000917,TIK20250420000917,TikTok,21,6,1,user_294138,72,2109,0,Politics,Portuguese,40,Video,4,Positive,0.607,0.136,0.257,9.1,Europe,-0.707107,0.707107,-0.781831,0.62349,1,0,0,0.607,0,0,7,8.4,0,0,0.000097,0,28,0.047619,1,0.365141,18,0.085336,0.093664,22430.335782
TIK20250420000921,TIK20250420000921,TikTok,21,6,1,user_304382,1181,774,0,Finance,English,146,Image,2,Positive,0.623,0.098,0.28,10,North America,-0.707107,0.707107,-0.781831,0.62349,1,0,1,0.623,0,0,7,9.6,0.000009,0.000009,0.000095,0,2,0.095238,2,0.441322,17,0.091007,0.098995,21028.711202
TIK20250420000936,TIK20250420000936,TikTok,21,6,1,user_69745,320,1740,0,Business,English,101,Text,5,Neutral,0.088,0.205,0.707,32.8,Asia,-0.707107,0.707107,-0.781831,0.62349,0,1,0,0.707,0,0,7,8.4,0.000006,0.000006,0.000095,0,9,0.190476,4,0.414162,17,0.097489,0.106933,121577.400212
TIK20250420000941,TIK20250420000941,TikTok,21,6,1,user_442152,72,3334,0,Science,English,88,Video,2,Neutral,0.218,0.136,0.646,0,Asia,-0.707107,0.707107,-0.781831,0.62349,1,0,0,0.646,0,0,5,9.6,0,0,0.000075,0,28,0,0,0.227641,19,0.081291,0.088471,1773.754469
TIK20250420000953,TIK20250420000953,TikTok,21,6,1,user_39764,2,1593,0,Climate,English,72,Image,3,Positive,0.837,0.054,0.109,17.5,North America,-0.707107,0.707107,-0.781831,0.62349,1,0,0,0.837,0,0,7,8.4,0.000087,0.000087,0.000096,0,17,0.142857,3,0.444871,17,0.093403,0.101566,65388.154284
TIK20250420000957,TIK20250420000957,TikTok,21,6,1,user_468211,66,3460,0,Technology,English,67,Link,3,Negative,0.055,0.705,0.239,78.2,North America,-0.707107,0.707107,-0.781831,0.62349,1,0,0,0.705,1,0,5,8.4,0,0,0.000072,0,28,0.2,2,0.307252,19,0.084244,0.091408,3243.111518
