post_id,n2v_0,n2v_1,n2v_2,n2v_3,n2v_4,n2v_5,n2v_6,n2v_7,n2v_8,n2v_9,n2v_10,n2v_11,n2v_12,n2v_13,n2v_14,n2v_15
TIK20250419000367,1.7119011,0.778304,1.3365371,-1.4877568,0.6050997,-0.7612173,-2.8180497,-1.3687468,-0.63102394,0.74429786,-0.31883103,0.41198975,-1.475831,-2.1689224,-0.1626814,-0.045873806
TIK20250419000373,0.41340458,-1.1536871,1.1311315,2.4140913,0.8649148,-1.3173323,-0.1215143,-1.1490028,-0.09841039,-0.5524521,1.0053461,1.7988583,-1.7360997,-0.67190653,-0.9760321,-1.2109158
TIK20250420000417,-0.54977083,1.6533766,0.81491154,0.7925834,0.2808264,1.39805,-2.892325,-1.4528288,-1.5832912,-2.0695362,-0.9440726,0.8183525,0.63554674,-0.46838224,-0.0671878,0.025372801
TIK20250420000425,-0.044098686,1.015851,1.1546131,0.83791965,0.029569153,0.37325832,-2.52972,-1.1445371,-2.6260672,-1.6089586,-1.1747633,1.3698144,1.6252309,-0.21589598,0.19040668,-0.12048811
TIK20250420000428,0.95270306,-0.41209045,1.8715149,-0.5471163,1.1559395,-2.034585,-1.6700292,-1.8357205,0.47968778,0.75953037,0.52281415,2.878301,-0.73152447,-0.17765641,-0.8493679,0.20430502
TIK20250420000438,-0.17845836,-0.07631033,1.7869879,0.12172525,0.07366612,-0.41398096,-0.99019384,-2.2845147,-0.315549,0.49481115,-2.42746,0.3691881,1.4507834,-1.5533965,-1.4750315,0.18954313
TIK20250420000463,1.8479505,-1.0302765,1.4213355,0.94662166,1.8283527,-1.5894736,-2.6461365,0.018928438,-0.7301343,-0.21151146,-0.026412249,-0.99633104,0.02150846,-1.7349055,-0.20088392,-0.39733973
TIK20250420000465,1.6548313,1.5428607,2.5950227,-0.89816403,0.0337182,-0.8147681,-2.0527546,-1.8855264,-0.7199909,0.5314071,-1.2033756,0.9056057,0.15558253,-0.595707,-0.91174537,-1.514084
TIK20250420000467,0.9363502,-0.57074445,1.7907861,1.9199511,1.5370188,-1.321301,-0.9014853,-0.54621375,0.25989935,-2.0349915,1.2647636,1.2232633,-0.9389955,-1.002225,-0.3390371,-1.0611504
TIK20250420000477,1.2097961,-0.81512874,1.79499,1.5297115,1.3323579,0.8521539,-2.094346,-1.1758568,-0.8384746,0.34289074,1.9714235,-0.066352285,-1.064365,0.09159857,-0.56632197,1.5486393
TIK20250420000504,2.4133277,0.36480376,2.2109325,-1.2380347,0.37805733,-0.42578518,-1.7319931,-1.9378778,-0.38499308,0.7679836,-0.28963587,0.42680004,-1.5660442,-0.91983277,-0.6395121,-0.18552694
TIK20250420000516,0.1582823,0.8900822,0.9338127,2.7793112,2.4436646,-1.2943316,-0.23996113,-2.1107404,-0.6049591,-0.6304172,0.6368223,0.6715102,-0.015098827,0.89852524,-0.15695982,-0.07943997
TIK20250420000519,-0.50860107,-0.24447769,0.7484087,1.3374585,2.144653,1.6061877,-0.10364209,-2.4926965,0.37747967,-0.7303733,-0.91933984,1.1293584,-0.9916498,-0.7983569,-1.0413489,1.6293157
TIK20250420000520,0.8501969,0.7887218,0.70491016,2.6454387,0.8970363,0.049791068,-1.2144935,-1.1984376,-0.32754368,0.6568265,-0.8216484,0.59745085,0.8214673,-1.1364737,-2.8196404,1.4852145
TIK20250420000521,0.9051266,-0.35187894,1.2538819,1.4775267,0.5441448,-1.7288316,0.15807638,-2.6766891,-0.66919756,1.4714078,-0.4736885,0.95634663,0.565677,-2.1101618,-1.795677,-1.4098011
TIK20250420000524,1.7969441,1.4635718,2.5880232,2.4340868,-0.26038134,-0.5982209,-0.05674516,-2.1389217,-0.24819322,-1.2446413,-0.581889,-0.49534014,-0.9116642,-1.0062662,-0.2736896,-0.5595822
TIK20250420000531,-0.6137505,0.94053185,2.0627518,0.98721486,0.6413487,0.2779448,-0.11106682,-3.1354258,-0.5429028,1.1013892,-0.3040035,-0.26713023,-0.96719813,-1.9532757,0.08043263,-1.6868149
TIK20250420000534,-0.99905,-0.30175066,0.14329943,2.6051247,2.313634,0.4883353,-1.4190474,-2.1151304,-0.60696894,-0.02963516,0.124968305,1.4016823,0.64982915,-0.3059254,1.1297636,0.5688591
TIK20250420000538,0.19848874,-1.3529367,1.7611594,1.7190938,-0.41448975,0.014741352,-0.6213297,-1.6100525,-1.3299655,-1.8885975,1.4124291,1.5495,-1.5543234,-1.0270492,-0.9406866,-1.0602113
TIK20250420000547,0.5799345,-1.409679,2.3494363,0.35249263,-0.36151385,-1.333567,-0.4522419,-2.8264697,-1.8430326,-1.5490794,0.1382875,0.13493656,-0.5746957,-0.0025093695,-0.62536883,2.150081
TIK20250420000564,-0.39717758,-0.23105183,0.77312356,0.5493442,0.61710626,-0.58025247,-1.9169705,0.7682539,-2.0945394,-0.82874346,1.0128838,1.4271675,-1.3444694,-2.3765717,-1.5512539,1.3709832
TIK20250420000583,0.1805767,0.9410595,1.0076867,2.675065,2.5900233,-0.5799678,-0.06572987,-2.4930823,-0.23433585,-1.1589936,0.29881418,0.5723457,-0.16523486,0.675483,-0.6533457,-0.5291849
TIK20250420000590,1.6249578,-0.61599857,1.0694188,1.23087,2.0312045,-1.0071237,-3.1838462,0.078349285,-1.0102259,0.2228993,0.05769255,-1.035964,0.32935506,-1.2639725,-0.2785135,-0.28911135
TIK20250420000598,-0.7318367,1.4287629,1.7295902,-0.31391776,1.5894369,-0.11499494,-0.7035397,-0.21525015,-1.4842556,-0.31415528,-1.9926515,1.8387725,-2.1316648,-0.93447423,-1.4248931,-1.0368761
TIK20250420000612,-0.12159652,0.040553115,1.8289342,0.9975765,2.5663104,-0.32868427,-0.904539,-1.994618,-0.15912841,0.30891377,-1.2087293,2.0838935,-0.6723081,1.6211683,0.7707675,0.32841936
TIK20250420000616,-0.88544506,1.1076627,2.5173674,1.2156188,0.009089049,-2.3421133,-1.0356247,-1.9187872,1.1381106,0.531496,-2.0848813,1.295731,-0.67776716,-0.3268006,-0.22013608,0.80183023
TIK20250420000621,2.5743256,1.1285437,0.9500128,-0.68908864,0.101126604,-0.37017757,-2.2350194,-2.5447764,-1.3662779,0.48955604,-0.15394674,-0.014295112,-0.18515463,-0.8071224,-0.99928373,0.45421937
TIK20250420000629,-0.19118509,-0.6135744,1.4811667,1.8496574,0.17938235,-2.8354475,-1.2251674,-1.6268647,-0.9439168,-0.38780943,0.3271047,0.026001934,1.1052303,-0.9386104,-0.4675317,-1.1557583
TIK20250420000633,1.2443863,-0.21234375,1.4876478,2.1532197,0.8714385,1.1134582,0.24814607,-1.3210199,-2.0332274,0.75356364,0.5228657,1.7169476,-1.3689291,-1.2548767,-1.4462036,1.6975678
TIK20250420000634,-0.4900952,0.6004134,1.5695771,1.3215319,0.3354238,0.27838653,-0.6158887,-3.3443413,-0.5503155,1.059689,-0.12045944,-0.6607782,-0.6712933,-2.169499,0.45693198,-1.374635
TIK20250420000659,-0.75907147,-0.26154965,1.6507381,-0.41260922,1.0085387,-0.7851923,-0.52173984,-1.9488044,-1.7601391,1.0284655,-2.1270742,-1.3235627,-0.46371558,-1.5800974,-0.8300785,0.7584599
TIK20250420000671,0.63447726,-0.36825526,1.9292027,0.8194746,-0.32882443,1.0341833,-1.7806382,-1.1336806,-1.3473384,-0.93288463,-1.3012016,-0.28037,-1.3651078,-1.4132869,-0.05304112,-2.1661654
TIK20250420000678,0.055653878,-0.066159256,1.8412412,1.2075412,-0.6973731,1.1824977,-0.7906681,-2.1870544,-1.6499443,-0.69626194,-0.9569099,-0.87752265,-1.4046069,-0.580912,-1.1316147,2.2916336
TIK20250420000683,0.12792857,-0.5278651,0.99184746,1.2693678,-0.069342114,-0.9193907,-3.8289502,-1.0726051,0.1663428,-1.4068435,-0.11451323,-0.4700035,0.45353872,-0.10966256,-0.11472077,1.3382864
TIK20250420000687,0.31015924,0.68610024,1.2584192,2.2339394,1.239422,0.5304763,-1.2109072,-0.703516,-0.31619892,0.75997925,-1.1169295,0.5334357,0.7310643,-1.0095842,-2.723276,1.5144794
TIK20250420000693,1.3912004,0.0037380971,1.7635214,1.0188278,-0.4878742,-0.13068165,-1.0312511,-1.382442,-3.7171001,0.3405891,-0.12347837,0.8671122,-0.99967307,-0.01659376,0.15346341,-0.84375334
TIK20250420000695,0.96268725,0.9654078,1.8924323,0.055366497,0.39606944,-0.7962712,-2.1831834,-0.9757985,-1.5867835,0.37034208,-1.6609526,0.7291756,1.4774324,-0.6552684,-1.6199641,-1.1728147
TIK20250420000704,0.95802724,-0.9406323,3.3012273,1.3055454,0.078251466,-0.20455833,-0.45010188,-1.4524149,-2.1985376,0.4601257,0.67090297,0.3945623,-1.3772694,0.48409712,0.39902326,-0.6506668
TIK20250420000724,0.49707627,-0.6089504,2.1516395,1.6730156,-0.7905468,-0.7779022,-3.2688289,-0.6710059,-0.764926,-1.6819426,-0.7679259,-0.5178232,-0.14643884,0.95447546,-1.070609,0.24907397
TIK20250420000731,-1.2541734,-0.2898067,0.14495555,1.8212123,2.0762007,-0.34050563,0.4882377,-1.7834835,-1.933984,-0.94039536,-0.44533086,0.07083899,-0.7164797,-2.1343868,-1.4068489,-1.0409504
TIK20250420000774,-0.7636196,-1.7090244,2.131311,-0.015383382,1.3716538,-0.20881021,-2.6917486,-0.74837494,-1.3848529,1.2302345,-0.61827993,-0.46050626,-1.4926888,-0.17205368,-0.073385514,-1.5199124
TIK20250420000781,-0.73374194,-0.22715881,1.6576852,0.11356862,0.5339337,-0.3204793,-0.3301224,-2.8987715,-2.0418825,1.1990925,-2.2437017,-1.20336,-0.20463058,-0.67102456,-0.89752275,0.28541353
TIK20250420000799,-1.6470923,-1.8281044,0.5270492,1.8174846,1.0844368,0.12276182,-0.57964003,-1.8748549,-1.7735288,-1.7240684,-0.047192574,-0.32824978,-0.34590375,-1.3262696,-1.6933763,-0.0066484935
TIK20250420000804,-1.6061823,1.4824771,-0.1887201,0.48261285,0.85213596,0.9398131,-1.6706841,-2.3775797,-0.5024672,-0.1713829,-1.0910783,1.997323,-1.0764973,-0.94605,0.06739487,-0.7672002
TIK20250420000814,1.5788257,0.43058965,1.0836655,2.6423664,1.3369468,-0.63546276,-1.111346,-1.4403682,-0.026010562,1.429208,-1.8732572,-0.03361754,0.08545888,-0.47432208,-1.108183,1.8466656
TIK20250420000828,-0.7550659,-0.3546173,3.1117885,-1.0224292,1.2522342,1.0444936,-1.376371,-1.3471397,-1.2408596,0.86662686,0.4098742,0.079442546,0.37190056,-1.6956624,-1.1541784,0.2932539
TIK20250420000836,-0.26349455,-0.29281536,1.1547813,1.0244703,2.8898063,1.1088551,-2.233443,-1.1947035,1.280143,0.4195031,-0.8243708,-0.18373565,-0.4602571,-1.8028392,-0.9472275,-0.7397244
TIK20250420000851,0.25047806,-1.3494651,0.6221597,2.0192559,-0.0324138,1.0193131,-3.2721322,-1.0278478,-1.3371907,0.8263958,1.2408721,0.586268,-1.6155676,-0.9059127,0.61706346,0.20892785
TIK20250420000855,0.9640235,-0.16856952,2.7225382,1.6662548,1.7281808,-1.4134358,-1.6483763,0.5533152,0.32890743,0.46137634,-0.17304932,1.4799385,0.543771,-0.54506946,-0.6174789,1.6312902
TIK20250420000878,-0.3902797,-0.56529176,2.3875515,0.36645624,-1.0676116,-0.07299856,-3.3035755,-0.89356464,-0.8185176,-1.8757644,0.3245803,0.8788132,-0.43509543,0.45790792,0.34271803,0.30398065
TIK20250420000883,0.36140674,0.016915847,2.0686421,1.1218415,-0.086757824,0.4666823,-1.44576,-0.75095373,-1.5160681,-1.3369148,-1.517843,-0.511973,-1.3428117,-1.7099432,0.02032676,-2.1380942
TIK20250420000895,0.35714647,-0.11179331,0.38308635,1.6973672,1.4793992,-0.67585176,-1.704693,0.14392556,-2.3768065,-0.34114033,0.11991522,1.1468788,-1.8413541,-1.1765124,1.9452097,0.5866058
TIK20250420000907,1.939108,-1.5470572,0.8886997,1.5991465,2.3309782,-1.3222207,-1.9724604,-0.3052078,-1.0743871,0.80868423,-0.03993,-0.71282804,-0.16227429,-1.4206971,-0.32548434,0.1604223
TIK20250420000917,-0.12276368,1.6571622,1.5431314,2.0850558,3.3017802,-0.70904624,-1.1063652,-0.034364205,-1.0042626,-0.11266474,0.4969867,-0.91663396,-0.04077399,-1.369592,-0.9899762,0.63445634
TIK20250420000921,1.4582559,-0.14976765,1.0023893,1.8041581,1.1676913,1.1813086,0.095746234,-1.2954146,-2.196503,1.118055,0.02850924,1.1378578,-1.1282314,-1.0948972,-0.48542294,1.2377002
TIK20250420000936,-0.044982973,-1.2523509,0.33119217,2.2610514,0.78294,0.37018362,-2.60135,-0.8112356,-0.9500404,1.062224,0.93271184,0.8193516,-0.054319784,-1.3866525,-0.8407851,2.5938654
TIK20250420000941,0.27577314,-0.47453526,1.3376473,-0.13163707,1.196947,0.5225619,-2.740827,-0.0999539,-0.20635381,-1.5216252,-1.4548017,-0.26077846,-1.4649491,-0.4179676,-1.295222,1.8015296
TIK20250420000953,0.9989915,0.26787987,1.738882,-0.16571836,0.3089086,-0.71735007,-2.1993613,-0.9435854,-1.1028107,0.12663583,-2.02795,0.9382456,1.4197453,-0.9193518,-1.7234443,-1.0340621
TIK20250420000957,-0.48212662,1.602947,2.1756413,-0.6576691,0.5909629,-1.9004431,-0.73618335,-1.4565389,-2.2719405,-0.067859955,-0.6418033,0.18455845,-2.1301353,-0.57599586,1.0705396,0.5891486
TIK20250420000965,-0.5117269,1.352445,0.36355942,0.6753365,-1.2452432,-0.65646285,-2.2914693,-2.5029902,-0.12650485,1.1281807,0.17826815,-0.08900901,-0.4981135,-1.7553161,-0.65772706,1.4964168
TIK20250420000985,-0.42211396,0.056599174,1.568374,0.86030215,1.5594323,-2.122564,-0.92806315,-2.09695,1.0243987,0.5297031,1.6954262,0.15970123,-1.1235448,-2.5584035,-1.6989876,0.97069806
TIK20250420001002,-0.04206276,0.046205565,-0.36664146,1.2362089,0.5480317,-0.22043127,-3.8082502,-1.3837237,-0.08296998,-1.0259237,-0.30564874,-0.61447626,-0.2236821,-0.4843754,0.039134618,0.95096534
TIK20250420001006,1.3708155,0.66705334,0.5049962,2.905615,0.44439915,-0.31700608,-1.2388383,-1.0120366,-1.067146,0.49523407,-0.6007868,0.80566204,0.8185804,-1.2307863,-2.7749882,1.3786545
TIK20250421001016,0.5070449,-0.84962493,0.14517933,1.0674591,0.5159499,-0.98161423,-1.2113154,-0.6506602,-2.2351987,-0.50485307,-2.473429,1.926155,-1.0347254,-0.36947578,-0.7907491,-1.2432637
TIK20250421001018,-0.9383284,0.96282053,1.7032331,1.2617373,-0.20368916,-2.4111643,-1.6490993,-1.5482183,0.62797636,0.45296812,-2.234817,1.0845728,-0.82439315,0.50366557,-0.42552763,0.71862984
TIK20250421001043,0.2650138,1.3477728,1.7004113,-1.4077559,1.5569981,-0.45064896,-1.2430451,-0.21920244,-1.5839968,-1.5362225,-1.4355599,0.770519,-1.1134901,-1.9426429,-1.4849114,0.40905514
TIK20250421001068,0.18406312,-0.6131014,1.3973874,-0.71510583,1.3791327,0.6653713,-2.9766846,-0.32297343,-1.043557,-1.1186056,-1.055685,-0.7992427,-1.9622716,0.106902204,-1.0936389,0.6792965
TIK20250421001078,-1.2242461,0.36697483,1.6419475,0.7410652,1.0902215,-0.7143277,-0.6828974,-2.2781315,-1.6288593,1.5112056,-1.9925212,-1.5503664,-0.36882657,-0.4012362,-0.8255729,0.14837687
TIK20250421001093,-1.297111,-0.44642395,0.12786315,0.13558571,-0.035040073,-0.8198939,-1.840343,-1.7311498,-2.5663118,2.4341378,-0.481386,0.7174132,-0.47541678,-1.7768304,-0.84418,-0.22008185
TIK20250421001110,0.12976886,-1.7044964,0.19428958,-0.11943332,1.2910203,-1.0751336,-2.460315,-0.3684421,-0.9936937,-0.77914333,0.004195198,0.16660926,-2.684266,-0.8871861,-1.6682479,1.2594862
TIK20250421001111,-1.6644434,0.9319503,2.7336438,-0.30942842,-0.17335522,-0.11456112,-0.9515468,-1.550831,-0.65067345,-1.4649242,0.8346135,1.2416347,-0.5356243,-1.0852103,-1.4757458,-0.9103793
TIK20250421001128,-0.20321725,-0.8712566,2.3843696,1.1888303,1.8600504,-1.5251652,-1.256584,0.14198568,0.5124995,1.0486326,-0.69265497,1.6105409,0.38880396,-0.80079,-1.7709153,0.9004902
TIK20250421001131,-1.0319794,1.6719135,0.2963901,0.29398605,2.1833637,0.41411364,-1.054726,-1.8075668,-1.6899114,0.984404,1.4985352,1.4252086,-0.9990914,-0.56241477,-0.9388093,0.247113
TIK20250421001142,-0.88420093,1.9819182,0.6012446,0.4724606,1.6368301,0.46720755,-1.0930015,-2.2041047,-1.4647353,1.5386374,1.0688393,1.5999142,-1.477334,-0.25726897,-0.7844535,-0.0059159263
TIK20250421001151,0.033181526,-1.5838096,0.8806188,1.0869033,1.7135955,-1.4972805,-1.1705015,-0.8132279,-1.732526,0.22799377,-1.0963715,0.35756087,-0.8712311,0.53889424,0.36216772,2.2574604
TIK20250421001181,-2.5944438,-0.23045947,0.45348713,0.5523988,0.40450355,-0.6187146,-1.4718071,-1.4100349,-0.71462613,0.6711167,-1.3700086,0.49978286,-0.8087257,-0.7895048,-2.6582046,0.073565856
TIK20250421001196,-0.5800903,1.3729368,0.86978275,1.6028513,0.27396137,-0.78538233,-1.5184307,-1.1866657,-1.3688202,0.6440923,1.3990979,1.2819275,0.73949856,-2.7209473,-0.06394573,-0.680235
TIK20250421001209,1.3564936,0.45166662,1.7967834,1.4430526,-0.58863926,-1.9350576,-0.49604025,-2.9141178,-0.5747245,-0.956099,-0.7472194,0.0058312123,-1.6461077,0.10802291,0.8794628,-0.14685929
TIK20250421001227,0.05034839,0.8042313,0.98734343,-0.22995187,3.3864403,-1.8216586,-0.6567588,-0.90078807,-1.1568117,0.9399126,-1.1303465,0.2719769,-0.3031345,-1.715126,-0.28352296,1.1052508
TIK20250421001232,-0.0062363264,-1.3991349,1.1460849,-0.17848249,1.259764,-0.52498007,-2.609069,-2.1515427,-1.4749001,0.8560414,0.050328366,-0.8986469,-0.9132212,-0.09715897,-0.28105104,-1.7196219
TIK20250421001234,-0.43228376,2.1392546,-0.3543068,0.45980668,0.84961295,0.29958025,-2.5739186,-2.3609967,-1.7683212,1.0851029,0.77478594,1.343314,-0.96232766,-0.19773132,-0.575898,0.45009825
TIK20250421001246,-0.7555894,0.4491055,2.1632562,0.945772,-0.43416402,-0.11195475,-1.8306116,-1.4648613,-0.60888517,-0.75955373,1.2861419,2.2437096,1.00115,-0.6824081,-1.6527201,-0.85412073
TIK20250421001286,0.19830982,0.46884033,1.0263184,2.44876,0.8809061,0.658122,-1.5325418,-0.96606344,-0.33795768,0.52337635,-0.33769733,0.46153787,0.8106083,-0.90672684,-3.1247563,1.0571014
TIK20250421001298,-0.9896465,1.9778692,0.29965684,0.20750391,1.2423935,0.9763432,-1.1614071,-2.377864,-0.93278915,0.41228223,-0.17584008,2.4282188,-1.2020994,-0.92530334,-0.029105172,-0.53685766
TIK20250421001302,0.9465601,0.8184193,2.1958504,-1.2891126,1.7140847,0.52170724,-0.52628,-0.9354465,-1.5752243,-0.9728872,-1.6110593,0.30350184,-1.1694045,-1.9828727,-1.4285641,-0.0056178956
TIK20250421001329,-0.115853846,-0.7046396,-0.9156839,1.6635743,-0.019689105,-1.3764321,-1.5605078,-1.9782827,-2.2661026,0.9049773,-0.30667752,0.074856125,-1.2516274,-0.11478662,-1.4341663,0.63746053
TIK20250421001349,1.2658403,0.6946084,-0.57628417,1.1040701,0.81156,-1.0629028,-2.776469,-2.0484939,0.6064305,-0.93765515,-0.48462725,-0.21756737,0.13035098,-1.6135273,0.31007454,0.8727851
TIK20250421001356,0.34624296,-0.07582613,2.199243,0.80142117,-0.0842864,0.9557057,-1.849574,-0.5636729,-1.2841219,-0.9274813,-1.5746236,0.07413269,-1.2100371,-1.8585948,-0.24704872,-2.325849
TIK20250421001357,0.6283243,-1.0265818,1.5014218,1.618136,0.26532415,0.560112,-0.3752473,-2.0547132,-0.07249203,-2.414516,0.69116366,1.749904,-0.89461905,-2.2722104,-1.0604628,-0.53302765
TIK20250421001377,-0.8618512,0.28774482,1.2414691,0.25588357,1.3699292,0.8613567,-1.6531843,-3.2696693,-1.1371244,-0.9932885,0.8210385,-0.3670964,1.0061567,0.05891425,-0.6228954,0.7450809
TIK20250421001404,-0.19603783,-0.6698768,0.8261498,-1.3331447,0.37074658,-1.1169403,-2.6293483,-2.6555033,-1.501603,-0.15980884,-1.229334,1.3862106,0.442173,0.6114021,-0.61792547,0.43507513
TIK20250421001433,0.19227526,-1.6100324,1.2004178,1.6546487,0.83721805,-1.1123072,-0.8582377,-1.0755377,-2.782711,-0.004560931,-1.8895909,0.8411907,-0.047055546,0.033376165,0.73914164,1.7831919
TIK20250421001434,0.17055836,-0.8068799,1.1148721,2.000829,0.41624013,-3.1465087,-1.2371056,-1.7343819,-0.7924575,-0.37885723,0.007923932,0.29219344,1.3898335,-1.3565134,-1.0776654,-0.6605188
TIK20250421001441,-0.78297216,0.21889503,0.53433263,1.5603667,1.3424109,-1.307522,0.50888383,-1.7468543,-1.2405008,-0.4651061,-0.9894602,-0.23744799,-2.8292763,-0.5409742,-1.9387788,1.517752
TIK20250421001452,0.064716324,-0.20763175,1.7034976,-0.5165323,1.0762684,0.41166508,-1.5262171,-1.6614424,-0.26462194,2.0142365,-0.049827076,-0.22297847,-1.1005353,-1.6328683,-2.2361948,0.5027066
TIK20250421001495,0.865215,-0.14697629,1.9319606,0.48266307,0.47221512,-1.6368405,-0.653122,-2.6114354,0.13073426,0.12019686,1.3159693,-0.7351363,0.117627785,-2.050001,-1.247479,1.1292118
TIK20250421001509,-0.77974296,-0.20264578,0.65413076,-0.5882914,0.41762576,-1.9604666,-2.825838,-2.121641,-2.2092388,-0.03585809,-1.1189387,1.4899883,0.4875909,0.70204735,0.03789962,-0.38429374
TIK20250421001526,0.1115701,-0.1885848,1.8842913,2.0341406,1.6645466,0.3250883,0.36658624,-1.2566553,-1.616245,1.8350234,0.21044953,1.9618057,0.1386629,-1.1157957,-1.4120239,-0.45959067
TIK20250421001537,0.33495644,-1.4373021,-0.33497795,2.3755078,-0.15261863,-1.0465622,-1.9129819,-1.937946,-2.1176245,0.057583712,-0.19426973,-0.014941017,-1.0231106,0.6577926,-1.7741281,1.1335222
TIK20250421001560,-0.10344584,-0.38062856,2.3302052,1.6514062,-0.6909513,-0.6594336,-3.1543663,-0.10356159,-0.96539235,-1.2849339,-0.88450384,-0.556534,0.1766856,0.6027388,-0.6270261,0.50295776
TIK20250421001572,-0.2946739,0.10758638,0.70660824,2.6842806,-0.18417932,-0.62685555,-1.8803858,-1.547461,-0.37482858,0.99127734,-2.2541547,-0.3178173,-1.9170834,-0.08496213,-0.26093376,-1.3665926
