Id,topic,verified,followers,sentiment_positive,popularity,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,eigencentrality
INS20250419000103,Health,0,31,0.085,0,35,126,18,0.143344,0.190429,101307.741488,0,0,0.000125,4,52,0.100841
INS20250419000104,Fashion,0,117,0.748,0,57,211,13,0.151739,0.212519,278573.33764,0,0,0.000194,3,54,0.17903
INS20250419000112,Business,0,89,0.139,0,59,231,11,0.184743,0.233386,280351.631286,0,0,0.000191,2,29,0.287136
INS20250419000113,Fashion,0,2445,0.233,0,63,242,14,0.157023,0.222058,333345.264302,0,0,0.000209,3,33,0.314943
INS20250419000117,Politics,0,502,0.263,0,58,221,12,0.167058,0.218108,135531.393376,0,0,0.000194,7,44,0.30974
INS20250419000118,Sports,0,17235,0.701,1,33,125,13,0.138075,0.178867,116573.469308,0,0,0.000118,0,16,0.082228
INS20250419000121,Education,0,150197,0.016,1,15,48,9,0.197286,0.222747,735023.91171,0,0,0.000062,1,10,0.037382
INS20250419000122,Climate,0,106787,0.262,1,26,88,11,0.196708,0.23458,180885.084687,0,0,0.000098,12,42,0.064409
INS20250419000125,Education,0,40,0.108,0,34,122,10,0.188967,0.221508,241808.694226,0,0,0.000122,1,34,0.088721
INS20250419000126,Travel,0,129,0.651,0,39,141,12,0.176276,0.215826,202642.944367,0.000013,0.000013,0.000141,5,21,0.098296
INS20250419000129,Science,0,575,0.082,0,75,300,12,0.147519,0.202158,31471.086576,0,0,0.000241,6,18,0.49625
INS20250419000132,Travel,0,3302,0.907,0,45,166,13,0.175132,0.227282,279091.481726,0.000008,0.000008,0.000154,5,38,0.166416
INS20250419000140,Technology,0,7231,0.663,0,54,196,13,0.170262,0.219141,294885.906263,0,0,0.000183,9,27,0.189438
INS20250419000147,Travel,0,439,0.681,0,65,248,13,0.17252,0.226273,266189.022905,0.000017,0.000017,0.000217,5,21,0.278628
INS20250419000148,Fashion,0,3442,0.775,1,79,302,14,0.146009,0.221651,265048.374796,0,0,0.000259,3,54,0.341892
INS20250419000152,Climate,0,797,0.932,0,58,220,11,0.195388,0.241569,227974.285948,0,0,0.000195,12,14,0.279136
INS20250419000157,Gaming,0,788,0.91,0,50,181,17,0.159322,0.223851,302586.903672,0,0,0.000175,13,37,0.174103
INS20250419000163,AI/ML,0,15773,0.723,1,43,155,14,0.16172,0.215006,209713.102969,0,0,0.00015,10,51,0.128125
INS20250419000177,Sports,0,52,0.745,0,22,82,13,0.138446,0.177494,78267.368414,0,0,0.00008,0,16,0.050588
INS20250419000179,Travel,0,1321,0.782,0,62,239,13,0.173615,0.227274,226427.000214,0.000014,0.000014,0.000201,5,21,0.310534
INS20250419000182,Fashion,0,165,0.052,0,65,250,14,0.158464,0.21715,224866.510534,0,0,0.000213,3,33,0.337464
INS20250419000184,Gaming,0,2487,0.136,0,104,400,13,0.168223,0.230982,492799.500941,0,0,0.000332,13,1,0.760929
INS20250419000188,Finance,0,67,0.93,0,27,91,15,0.140891,0.178927,128368.505215,0,0,0.000102,8,25,0.05724
INS20250419000192,Education,0,20,0.085,0,25,89,10,0.183178,0.211935,103143.416425,0,0,0.000092,1,10,0.059451
INS20250419000200,Science,0,413,0.895,0,58,213,13,0.184072,0.230975,648366.493734,0,0,0.0002,6,30,0.201078
INS20250419000215,Business,0,4789,0.916,0,54,195,12,0.194941,0.238706,444579.216781,0,0,0.000194,2,41,0.164563
INS20250419000221,Travel,1,502065,0.712,1,11,40,11,0.200973,0.230616,623595.876689,0.001383,0.001383,0.000044,5,38,0.02812
INS20250419000224,Technology,0,3821,0.87,0,50,183,14,0.15091,0.209222,312401.270246,0,0,0.000171,9,27,0.163324
INS20250419000225,Education,0,741,0.657,1,39,145,12,0.156098,0.206367,70815.193966,0,0,0.000136,1,15,0.109184
INS20250419000231,Travel,0,167,0.72,0,36,142,13,0.167953,0.208771,107707.497162,0.000007,0.000007,0.000122,5,21,0.11086
INS20250419000232,Finance,0,504,0.937,0,49,182,15,0.138294,0.183328,89838.549567,0,0,0.000168,8,25,0.166884
INS20250419000234,Health,0,26,0.109,0,35,126,19,0.134583,0.183759,46123.637089,0,0,0.000127,4,52,0.099558
INS20250419000247,Politics,0,4234,0.948,0,38,142,15,0.141267,0.185357,35884.464598,0,0,0.000131,7,24,0.133387
INS20250419000248,Politics,0,115,0.663,0,40,148,13,0.175703,0.219048,609984.53344,0,0,0.00014,7,24,0.113756
INS20250419000251,Fashion,0,1210,0.665,0,53,205,13,0.149238,0.208134,182497.491125,0,0,0.000173,3,54,0.223333
INS20250419000260,Science,0,6920,0.194,0,48,184,13,0.162931,0.214527,89839.608531,0,0,0.000163,6,26,0.180783
INS20250419000261,Fashion,0,1067,0.241,0,56,219,15,0.144961,0.213021,245371.899563,0,0,0.00018,3,33,0.321929
INS20250419000263,Health,0,1674,0.181,0,84,325,19,0.144764,0.226357,524944.877098,0,0,0.000272,4,3,0.460801
INS20250419000265,Gaming,0,6187,0.729,0,62,230,18,0.145094,0.209309,204816.292916,0,0,0.000216,13,37,0.185761
INS20250419000278,Education,0,210,0.234,0,54,211,11,0.168938,0.220948,314395.833606,0,0,0.000176,1,34,0.241604
INS20250419000280,Sports,0,75363,0.662,1,12,46,12,0.144633,0.170924,15108.351726,0,0,0.000049,0,4,0.021501
INS20250419000295,Entertainment,0,88,0.218,0,60,218,12,0.176901,0.227476,201597.447549,0,0,0.000208,11,6,0.191475
INS20250419000296,Fashion,0,9940,0.034,0,41,158,14,0.159219,0.210975,227620.206602,0,0,0.000136,3,33,0.152232
INS20250419000301,Food,0,51,0.73,0,54,188,11,0.173894,0.216698,187843.097881,0,0,0.0002,14,48,0.141824
INS20250419000302,Fashion,0,259,0.012,0,52,205,14,0.153429,0.201338,245058.433038,0,0,0.000171,3,33,0.214709
INS20250419000312,Politics,0,4309,0.154,0,76,283,12,0.172734,0.23658,391921.895024,0,0,0.000253,7,44,0.377054
INS20250419000325,Food,0,14,0.937,0,27,90,10,0.205262,0.23929,920245.460861,0,0,0.000105,14,48,0.057047
INS20250419000333,AI/ML,1,230300,0.116,1,40,145,14,0.182889,0.235863,844218.234081,0,0,0.000152,10,17,0.104214
INS20250419000344,AI/ML,0,463,0.776,0,79,300,14,0.16585,0.230876,548800.76186,0,0,0.000256,10,47,0.406622
INS20250419000347,Business,0,2281,0.296,0,31,122,12,0.158657,0.204221,46852.363765,0,0,0.000102,2,29,0.167574
INS20250419000352,Business,0,61,0.675,0,28,100,12,0.172496,0.207217,162802.154262,0,0,0.000104,2,41,0.056352
INS20250419000353,Health,0,5,0.818,0,25,79,13,0.139953,0.184894,44653.840429,0,0,0.000104,4,8,0.071482
INS20250419000378,Fashion,0,526,0.732,0,50,198,15,0.128257,0.195809,74705.835529,0,0,0.000162,3,54,0.207445
INS20250419000379,Climate,0,22,0.024,0,29,98,11,0.176901,0.213743,142553.945644,0,0,0.000111,12,7,0.066325
INS20250419000380,Education,0,611,0.09,0,76,302,11,0.170333,0.22215,358217.274095,0,0,0.000244,1,34,0.449406
INS20250419000382,Gaming,0,2209,0.067,0,82,319,13,0.151102,0.207932,18132.53664,0,0,0.000259,13,1,0.664067
INS20250419000386,Finance,0,75883,0.9,1,23,73,14,0.155816,0.193407,238571.586048,0,0,0.000089,8,25,0.052412
INS20250419000399,Climate,0,765,0.229,0,65,247,12,0.191676,0.2488,339755.071599,0,0,0.000213,12,7,0.37066
INS20250420000402,Travel,0,198,0.663,0,29,116,14,0.145549,0.179009,14652.399175,0.000001,0.000001,0.000098,5,21,0.088814
INS20250420000407,Fashion,0,7068,0.756,0,41,162,14,0.140474,0.191794,104670.120504,0,0,0.000134,3,54,0.145508
INS20250420000416,Education,0,81,0.822,0,35,127,10,0.163989,0.205989,225886.718184,0,0,0.000126,1,15,0.090462
INS20250420000418,Food,0,11218,0.66,1,47,174,11,0.172503,0.215554,285591.009811,0,0,0.000166,14,50,0.134877
INS20250420000424,Health,0,14622,0.25,1,22,85,20,0.130028,0.185796,126959.007617,0,0,0.000077,4,3,0.062479
INS20250420000430,Health,0,10930,0.111,1,50,200,22,0.106494,0.156812,4578.83908,0,0,0.000162,4,3,0.226534
INS20250420000442,Sports,0,80,0.912,0,22,87,14,0.129854,0.168109,39668.055495,0,0,0.000079,0,16,0.048031
INS20250420000443,Finance,0,681,0.932,0,49,189,16,0.129737,0.179643,117183.858676,0,0,0.000161,8,25,0.215974
INS20250420000452,Sports,0,29,0.758,0,23,92,15,0.108828,0.134245,6035.179181,0,0,0.000081,0,16,0.05872
INS20250420000456,Sports,0,208,0.253,0,43,163,12,0.157204,0.207022,279459.199727,0,0,0.000144,0,32,0.169648
INS20250420000457,AI/ML,0,2721,0.812,1,63,240,14,0.155345,0.216292,143329.931543,0,0,0.00021,10,51,0.242361
INS20250420000458,Sports,0,3183,0.141,0,82,317,12,0.160744,0.222623,492298.549703,0,0,0.000268,0,4,0.358385
INS20250420000471,Fashion,0,110,0.066,0,52,206,15,0.13761,0.18712,175588.140573,0,0,0.00017,3,33,0.221378
INS20250420000472,Education,0,460,0.847,0,50,192,11,0.160168,0.206157,181102.200708,0,0,0.000169,1,15,0.160368
INS20250420000481,AI/ML,0,12,0.073,0,26,94,14,0.166492,0.213158,393937.854512,0,0,0.000098,10,11,0.067483
INS20250420000487,Food,0,1605,0.938,0,47,176,11,0.175446,0.221468,167923.377988,0,0,0.000158,14,48,0.187062
INS20250420000492,Food,0,1658,0.751,0,72,280,11,0.176388,0.230034,243868.710737,0,0,0.000235,14,48,0.305689
INS20250420000497,Technology,0,17815,0.711,0,46,165,13,0.169233,0.213476,337309.198863,0,0,0.000162,9,27,0.119644
INS20250420000507,Politics,0,3802,0.842,0,47,178,15,0.143103,0.191688,60681.580834,0,0,0.000159,7,24,0.166011
INS20250420000510,Fashion,0,6019,0.74,1,41,163,15,0.130977,0.188666,33176.317255,0,0,0.000133,3,54,0.150829
INS20250420000511,Health,0,820,0.743,0,82,311,12,0.141415,0.207907,741276.040721,0,0,0.000271,4,8,0.396176
INS20250420000513,Science,0,859,0.877,0,55,206,15,0.15594,0.21042,40397.474858,0,0,0.000183,6,30,0.22083
INS20250420000515,Fashion,0,2985,0.299,1,27,106,15,0.140726,0.193447,48501.844131,0,0,0.00009,3,33,0.141659
INS20250420000527,Technology,0,1416,0.05,0,67,260,12,0.15879,0.217858,474342.789252,0,0,0.000218,9,35,0.364713
INS20250420000529,Entertainment,0,38766,0.091,0,39,143,12,0.178125,0.21978,218034.516503,0,0,0.000137,11,39,0.102838
INS20250420000536,Food,0,269,0.137,0,95,358,10,0.189222,0.244729,318881.185678,0,0,0.000308,14,19,0.647627
INS20250420000539,Health,0,16,0.105,0,18,72,21,0.101786,0.123804,2949.598925,0,0,0.00007,4,52,0.032245
INS20250420000540,Science,0,12727,0.113,1,50,199,13,0.154036,0.197497,209512.454563,0,0,0.000159,6,26,0.234293
INS20250420000544,Gaming,0,497,0.616,0,40,151,20,0.128227,0.191168,43192.795216,0,0,0.000136,13,37,0.153997
INS20250420000551,Fashion,0,16461,0.066,1,27,108,14,0.146198,0.180887,3606.608687,0,0,0.000093,3,33,0.083185
INS20250420000555,Politics,0,7254,0.848,0,56,218,15,0.143951,0.194469,236596.412068,0,0,0.000185,7,24,0.203792
INS20250420000556,Health,0,63,0.255,0,18,70,20,0.129903,0.185688,110650.869234,0,0,0.000064,4,52,0.050277
INS20250420000559,Travel,0,40950,0.924,1,14,52,12,0.160076,0.190191,34933.002007,0.000001,0.000001,0.000055,5,38,0.027505
INS20250420000563,Gaming,0,1697,0.135,0,85,329,13,0.168459,0.228559,259757.467387,0,0,0.000272,13,1,0.572789
INS20250420000588,AI/ML,0,2493,0.21,1,81,313,15,0.169429,0.234683,187942.674264,0,0,0.000264,10,17,0.528327
INS20250420000589,Fashion,0,318,0.838,0,63,241,13,0.151479,0.215612,239139.110772,0,0,0.000211,3,54,0.240656
INS20250420000591,Entertainment,0,33,0.815,0,40,143,12,0.148287,0.188679,79534.983138,0,0,0.000146,11,39,0.091397
INS20250420000592,AI/ML,0,1325,0.781,0,95,371,14,0.15638,0.227874,191615.353076,0,0,0.000301,10,51,0.602512
INS20250420000594,Business,0,386,0.023,0,46,181,11,0.180982,0.228038,305120.846064,0,0,0.000148,2,29,0.239294
INS20250420000595,Fashion,0,356,0.172,0,70,278,16,0.134717,0.200266,113158.668223,0,0,0.000229,3,33,0.34031
INS20250420000596,AI/ML,0,3081,0.127,0,91,355,15,0.171014,0.237407,398341.777505,0,0,0.000292,10,17,0.606022
INS20250420000600,Gaming,0,4991,0.686,0,40,151,18,0.143881,0.200535,120709.465701,0,0,0.000138,13,37,0.135004
INS20250420000601,Finance,0,372,0.737,0,73,275,15,0.146388,0.206222,206774.31209,0,0,0.000242,8,25,0.302481
INS20250420000618,AI/ML,0,2801,0.065,1,78,307,15,0.163577,0.223362,48124.785456,0,0,0.000252,10,17,0.506254
INS20250420000628,Finance,0,21,0.768,0,24,84,16,0.134411,0.178557,80550.449456,0,0,0.00009,8,25,0.058291
INS20250420000641,Climate,0,13,0.887,0,21,70,11,0.184237,0.213177,70746.378073,0,0,0.000085,12,14,0.045188
INS20250420000642,Health,0,8029,0.196,1,55,219,20,0.130542,0.198327,263448.256823,0,0,0.000178,4,3,0.252487
INS20250420000649,Climate,0,2970,0.078,0,82,322,13,0.171639,0.231086,164030.694313,0,0,0.000266,12,42,0.458627
INS20250420000654,Travel,0,690,0.116,0,105,400,11,0.18249,0.245726,228792.712914,0.208722,0.208722,0.00034,5,9,0.729108
INS20250420000655,AI/ML,0,1060,0.112,0,86,342,15,0.164936,0.231369,265738.124479,0,0,0.000273,10,11,0.697834
INS20250420000661,Business,0,1538,0.022,0,69,275,12,0.155421,0.215992,243988.288241,0,0,0.000222,2,29,0.470492
INS20250420000662,Climate,0,3,0.087,0,8,27,12,0.182728,0.216675,223539.363123,0,0,0.000033,12,7,0.03705
INS20250420000663,Business,0,164916,0.857,1,16,53,12,0.189333,0.216373,129499.625457,0,0,0.000064,2,41,0.03228
INS20250420000669,Travel,0,201,0.612,0,23,92,14,0.146571,0.17799,9969.496716,0.000001,0.000001,0.000079,5,21,0.071319
INS20250420000673,Travel,0,894,0.121,0,116,447,12,0.178138,0.244752,180445.284221,0.364823,0.364823,0.000371,5,9,1
INS20250420000689,Business,0,18718,0.672,1,27,102,12,0.172628,0.206698,180439.275253,0,0,0.000098,2,41,0.061591
INS20250420000700,Food,0,55,0.621,0,16,62,12,0.157354,0.191556,28228.128333,0,0,0.000057,14,48,0.055454
INS20250420000714,Science,0,1049,0.224,0,67,263,13,0.160892,0.217825,211036.224393,0,0,0.000215,6,18,0.460776
INS20250420000715,Health,0,3322,0.12,1,71,284,23,0.097534,0.156179,28245.913493,0,0,0.000228,4,3,0.342541
INS20250420000726,Technology,0,83,0.204,0,47,182,11,0.168602,0.215998,151761.139218,0,0,0.000156,9,49,0.205476
INS20250420000747,Travel,0,6014,0.898,1,38,148,13,0.160165,0.202151,203261.983458,0,0,0.000126,5,38,0.139104
INS20250420000750,Education,0,1802,0.173,0,72,286,12,0.155426,0.216381,305897.235757,0,0,0.000231,1,34,0.458456
INS20250420000751,Health,0,197649,0.933,0,14,47,14,0.151517,0.18146,467392.84166,0,0,0.00006,4,8,0.025987
INS20250420000758,Food,0,578,0.637,0,42,166,13,0.145712,0.193491,74095.077211,0,0,0.000136,14,48,0.189353
INS20250420000759,Travel,0,310,0.777,0,48,191,14,0.143373,0.196292,57636.144477,0.000001,0.000001,0.000157,5,21,0.190617
INS20250420000764,Science,0,766,0.785,0,68,255,14,0.173777,0.231401,519840.983055,0,0,0.000226,6,30,0.264315
INS20250420000766,AI/ML,0,1085,0.851,0,61,240,14,0.152906,0.213722,100612.62363,0,0,0.000197,10,51,0.343538
INS20250420000777,Education,0,1182,0.786,0,72,283,11,0.173417,0.23184,142715.684721,0,0,0.000234,1,15,0.400231
INS20250420000778,AI/ML,0,509,0.237,0,57,226,16,0.161341,0.220338,530539.458753,0,0,0.000183,10,11,0.291277
INS20250420000779,Health,0,16827,0.657,1,29,106,13,0.13394,0.175534,135366.018902,0,0,0.000103,4,46,0.079688
INS20250420000783,AI/ML,0,1227,0.655,0,55,216,15,0.146662,0.205334,37320.092739,0,0,0.000176,10,51,0.373595
INS20250420000784,AI/ML,0,271,0.618,0,30,120,17,0.118979,0.153106,17075.896921,0,0,0.0001,10,47,0.109826
INS20250420000796,AI/ML,0,498,0.824,0,56,223,15,0.148679,0.203514,9808.669506,0,0,0.000179,10,47,0.3074
INS20250420000806,Climate,0,55,0.093,0,30,119,13,0.152618,0.190267,170785.617722,0,0,0.000104,12,7,0.079017
INS20250420000815,Fashion,0,272,0.846,0,57,220,14,0.138734,0.202838,47968.52991,0,0,0.00019,3,54,0.222391
INS20250420000817,Finance,0,2374,0.739,0,69,264,15,0.146485,0.205221,466405.174286,0,0,0.000228,8,31,0.271352
INS20250420000819,Fashion,0,817,0.797,0,72,283,14,0.136696,0.201114,105998.548659,0,0,0.000236,3,54,0.302934
INS20250420000822,Food,0,5695,0.119,1,74,279,12,0.160954,0.215681,214669.046685,0,0,0.000241,14,19,0.389963
INS20250420000827,Travel,0,1445,0.811,0,58,230,14,0.154198,0.204541,22252.777365,0.000004,0.000004,0.000187,5,21,0.294948
INS20250420000834,Food,0,80,0.252,0,30,111,10,0.197576,0.236264,564880.997674,0,0,0.000105,14,36,0.089206
INS20250420000838,Gaming,0,1985,0.092,0,72,280,13,0.154457,0.214207,27493.104281,0,0,0.000228,13,1,0.567511
INS20250420000845,Business,0,130,0.092,0,70,280,12,0.143403,0.189962,6687.212585,0,0,0.000224,2,29,0.387605
INS20250420000849,Entertainment,0,1586,0.111,1,86,334,13,0.16894,0.231543,404133.236569,0,0,0.000276,11,6,0.581766
INS20250420000850,Politics,0,76580,0.853,0,13,49,15,0.146814,0.180214,46615.374784,0,0,0.000051,7,24,0.024943
INS20250420000854,Gaming,0,39,0.704,0,21,78,18,0.138853,0.185066,88349.566045,0,0,0.000076,13,37,0.049636
INS20250420000859,Health,0,34817,0.911,1,21,78,14,0.131136,0.165872,54964.473107,0,0,0.000081,4,46,0.041949
INS20250420000872,Technology,0,20683,0.143,1,33,127,11,0.164557,0.2071,147522.725634,0,0,0.000113,9,35,0.102161
INS20250420000885,Travel,0,21,0.231,0,25,88,11,0.183566,0.218955,185879.092601,0.01183,0.01183,0.000092,5,22,0.07227
INS20250420000886,Finance,0,287,0.688,0,48,184,15,0.144575,0.195594,221664.06156,0,0,0.000157,8,25,0.212693
INS20250420000900,Finance,0,432,0.089,0,80,305,12,0.163513,0.227701,467835.107074,0,0,0.000261,8,0,0.426199
INS20250420000905,Gaming,0,286,0.926,0,42,160,17,0.157152,0.216474,279330.205147,0,0,0.000141,13,37,0.169637
INS20250420000906,Food,0,263,0.142,0,88,336,11,0.173054,0.228748,40147.560161,0,0,0.000282,14,19,0.619804
INS20250420000909,Gaming,0,1053,0.738,0,70,274,19,0.134831,0.210308,81518.292714,0,0,0.000225,13,37,0.393453
INS20250420000914,Finance,0,182,0.242,0,35,133,14,0.141872,0.204797,124034.148585,0,0,0.000117,8,0,0.15597
INS20250420000919,Science,0,32686,0.908,1,21,75,15,0.148456,0.18467,84836.56918,0,0,0.000075,6,30,0.059295
INS20250420000938,Gaming,0,85,0.864,0,37,142,17,0.153509,0.207565,208141.934029,0,0,0.000124,13,37,0.108656
INS20250420000942,Fashion,0,875,0.148,0,78,311,16,0.13185,0.202304,87800.325847,0,0,0.000248,3,33,0.471062
INS20250420000949,Fashion,0,3209,0.265,0,40,160,16,0.125531,0.17435,14277.64452,0,0,0.000132,3,33,0.188793
INS20250420000960,Science,0,1621,0.79,0,73,283,15,0.156319,0.218547,294137.392248,0,0,0.000233,6,30,0.364423
INS20250420000968,Fashion,0,660,0.229,0,57,228,18,0.107563,0.163857,13848.425523,0,0,0.000184,3,33,0.3268
INS20250420000969,Entertainment,0,171,0.15,0,64,243,13,0.168954,0.224024,356706.031235,0,0,0.000211,11,6,0.269508
INS20250420000972,Food,0,49,0.865,0,25,96,11,0.16993,0.203496,49061.231713,0,0,0.000089,14,48,0.080774
INS20250420000977,Business,0,88,0.098,0,46,184,12,0.158211,0.196815,2042.405702,0,0,0.000149,2,29,0.228645
INS20250420000978,Entertainment,0,2979,0.277,0,48,186,13,0.167088,0.219194,368470.473766,0,0,0.000157,11,23,0.266447
INS20250420000990,Entertainment,0,49172,0.105,1,22,85,13,0.161955,0.199004,122888.758893,0,0,0.00008,11,39,0.048331
INS20250420000995,Business,0,188,0.088,0,59,236,12,0.155397,0.199759,9789.636585,0,0,0.00019,2,29,0.354213
INS20250420001000,Food,0,320,0.067,0,65,251,11,0.172414,0.223765,83515.005599,0,0,0.000208,14,19,0.491808
INS20250420001005,Business,0,1041,0.088,0,72,288,14,0.123492,0.18093,30126.465094,0,0,0.000229,2,29,0.553455
INS20250420001011,Food,0,3093,0.675,1,43,172,14,0.12184,0.15858,9434.531987,0,0,0.00014,14,50,0.173305
INS20250420001013,Education,0,20505,0.795,0,31,121,12,0.152058,0.194664,134337.331671,0,0,0.000106,1,2,0.090917
INS20250420001015,Finance,0,85,0.189,0,52,203,14,0.140762,0.202985,74479.201309,0,0,0.000173,8,0,0.211368
INS20250421001022,Politics,0,11,0.246,0,17,59,11,0.190063,0.227116,818653.973014,0,0,0.000068,7,44,0.040803
INS20250421001025,Finance,0,500,0.283,0,33,129,14,0.140931,0.20053,46692.594924,0,0,0.00011,8,0,0.166189
INS20250421001035,Science,0,48,0.853,0,21,82,16,0.139015,0.17912,41889.25854,0,0,0.000076,6,30,0.045759
INS20250421001038,AI/ML,0,191654,0.103,1,10,39,15,0.161505,0.195593,1471.5061,0,0,0.000041,10,17,0.025612
INS20250421001045,AI/ML,0,222,0.13,0,69,276,20,0.10881,0.159705,105227.997431,0,0,0.00022,10,11,0.409565
INS20250421001049,Travel,0,2714,0.08,1,87,336,11,0.168709,0.229867,209774.087155,0.033164,0.033164,0.000281,5,9,0.518395
INS20250421001050,Climate,0,712,0.863,0,55,209,11,0.199246,0.243474,477288.671542,0,0,0.000183,12,14,0.276296
INS20250421001053,Finance,0,60,0.095,0,35,139,14,0.137258,0.187283,132007.701268,0,0,0.000118,8,0,0.105632
INS20250421001054,Politics,0,480,0.081,0,80,309,12,0.167987,0.228245,367991.280909,0,0,0.000257,7,44,0.499072
INS20250421001056,Technology,0,84,0.92,0,25,90,14,0.148035,0.193582,193876.291372,0,0,0.000088,9,27,0.069577
INS20250421001059,Education,0,142611,0.097,1,5,20,10,0.171898,0.18817,700.825585,0,0,0.000026,1,10,0.008437
INS20250421001062,Science,0,157,0.856,0,39,155,16,0.138054,0.183879,149321.974276,0,0,0.000134,6,30,0.105078
INS20250421001063,Politics,0,128653,0.855,1,8,31,14,0.145199,0.172061,7597.351113,0,0,0.000036,7,24,0.011757
INS20250421001075,AI/ML,0,3,0.681,0,5,19,15,0.139574,0.171812,522.04917,0,0,0.000025,10,51,0.020776
INS20250421001079,Gaming,0,4247,0.169,0,65,251,14,0.157538,0.211615,339373.218101,0,0,0.000213,13,1,0.277751
INS20250421001080,Entertainment,0,11815,0.867,1,37,137,12,0.152006,0.190632,44715.736504,0,0,0.00013,11,39,0.113576
INS20250421001086,Gaming,0,2644,0.059,0,70,280,14,0.148391,0.200237,3516.196038,0,0,0.000221,13,1,0.569902
INS20250421001100,Sports,0,734,0.68,0,44,176,14,0.125946,0.170082,89920.917752,0,0,0.000143,0,16,0.183179
INS20250421001112,Fashion,0,152960,0.948,0,7,25,12,0.158095,0.193689,313700.916559,0,0,0.00003,3,54,0.028011
INS20250421001116,Politics,0,963,0.945,0,31,124,16,0.120664,0.155504,18322.079555,0,0,0.000105,7,24,0.105493
INS20250421001119,Food,0,517,0.801,0,56,222,12,0.167404,0.213853,324237.422327,0,0,0.000181,14,48,0.2248
INS20250421001120,AI/ML,0,46107,0.062,1,17,68,16,0.138936,0.164424,52013.649338,0,0,0.000065,10,17,0.032673
