Id,Label,topic,verified,followers,sentiment_positive,popularity
INS20250420000559,INS20250420000559,Travel,0,40950,0.924,1
INS20250420000563,INS20250420000563,Gaming,0,1697,0.135,0
INS20250420000588,INS20250420000588,AI/ML,0,2493,0.21,1
INS20250420000589,INS20250420000589,Fashion,0,318,0.838,0
INS20250420000591,INS20250420000591,Entertainment,0,33,0.815,0
INS20250420000592,INS20250420000592,AI/ML,0,1325,0.781,0
INS20250420000594,INS20250420000594,Business,0,386,0.023,0
INS20250420000595,INS20250420000595,Fashion,0,356,0.172,0
INS20250420000596,INS20250420000596,AI/ML,0,3081,0.127,0
INS20250420000600,INS20250420000600,Gaming,0,4991,0.686,0
INS20250420000601,INS20250420000601,Finance,0,372,0.737,0
INS20250420000618,INS20250420000618,AI/ML,0,2801,0.065,1
INS20250420000628,INS20250420000628,Finance,0,21,0.768,0
INS20250420000641,INS20250420000641,Climate,0,13,0.887,0
INS20250420000642,INS20250420000642,Health,0,8029,0.196,1
INS20250420000649,INS20250420000649,Climate,0,2970,0.078,0
INS20250420000654,INS20250420000654,Travel,0,690,0.116,0
INS20250420000655,INS20250420000655,AI/ML,0,1060,0.112,0
INS20250420000661,INS20250420000661,Business,0,1538,0.022,0
INS20250420000662,INS20250420000662,Climate,0,3,0.087,0
INS20250420000663,INS20250420000663,Business,0,164916,0.857,1
INS20250420000669,INS20250420000669,Travel,0,201,0.612,0
INS20250420000673,INS20250420000673,Travel,0,894,0.121,0
INS20250420000689,INS20250420000689,Business,0,18718,0.672,1
INS20250420000700,INS20250420000700,Food,0,55,0.621,0
INS20250420000714,INS20250420000714,Science,0,1049,0.224,0
INS20250420000715,INS20250420000715,Health,0,3322,0.12,1
INS20250420000726,INS20250420000726,Technology,0,83,0.204,0
INS20250420000747,INS20250420000747,Travel,0,6014,0.898,1
INS20250420000750,INS20250420000750,Education,0,1802,0.173,0
INS20250420000751,INS20250420000751,Health,0,197649,0.933,0
INS20250420000758,INS20250420000758,Food,0,578,0.637,0
INS20250420000759,INS20250420000759,Travel,0,310,0.777,0
INS20250420000764,INS20250420000764,Science,0,766,0.785,0
INS20250420000766,INS20250420000766,AI/ML,0,1085,0.851,0
INS20250420000777,INS20250420000777,Education,0,1182,0.786,0
INS20250420000778,INS20250420000778,AI/ML,0,509,0.237,0
INS20250420000779,INS20250420000779,Health,0,16827,0.657,1
INS20250420000783,INS20250420000783,AI/ML,0,1227,0.655,0
INS20250420000784,INS20250420000784,AI/ML,0,271,0.618,0
INS20250420000796,INS20250420000796,AI/ML,0,498,0.824,0
INS20250420000806,INS20250420000806,Climate,0,55,0.093,0
INS20250420000815,INS20250420000815,Fashion,0,272,0.846,0
INS20250420000817,INS20250420000817,Finance,0,2374,0.739,0
INS20250420000819,INS20250420000819,Fashion,0,817,0.797,0
INS20250420000822,INS20250420000822,Food,0,5695,0.119,1
INS20250420000827,INS20250420000827,Travel,0,1445,0.811,0
INS20250420000834,INS20250420000834,Food,0,80,0.252,0
INS20250420000838,INS20250420000838,Gaming,0,1985,0.092,0
INS20250420000845,INS20250420000845,Business,0,130,0.092,0
INS20250420000849,INS20250420000849,Entertainment,0,1586,0.111,1
INS20250420000850,INS20250420000850,Politics,0,76580,0.853,0
INS20250420000854,INS20250420000854,Gaming,0,39,0.704,0
INS20250420000859,INS20250420000859,Health,0,34817,0.911,1
INS20250420000872,INS20250420000872,Technology,0,20683,0.143,1
INS20250420000885,INS20250420000885,Travel,0,21,0.231,0
INS20250420000886,INS20250420000886,Finance,0,287,0.688,0
INS20250420000900,INS20250420000900,Finance,0,432,0.089,0
INS20250420000905,INS20250420000905,Gaming,0,286,0.926,0
INS20250420000906,INS20250420000906,Food,0,263,0.142,0
INS20250420000909,INS20250420000909,Gaming,0,1053,0.738,0
INS20250420000914,INS20250420000914,Finance,0,182,0.242,0
INS20250420000919,INS20250420000919,Science,0,32686,0.908,1
INS20250420000938,INS20250420000938,Gaming,0,85,0.864,0
INS20250420000942,INS20250420000942,Fashion,0,875,0.148,0
INS20250420000949,INS20250420000949,Fashion,0,3209,0.265,0
INS20250420000960,INS20250420000960,Science,0,1621,0.79,0
INS20250420000968,INS20250420000968,Fashion,0,660,0.229,0
INS20250420000969,INS20250420000969,Entertainment,0,171,0.15,0
INS20250420000972,INS20250420000972,Food,0,49,0.865,0
INS20250420000977,INS20250420000977,Business,0,88,0.098,0
INS20250420000978,INS20250420000978,Entertainment,0,2979,0.277,0
INS20250420000990,INS20250420000990,Entertainment,0,49172,0.105,1
INS20250420000995,INS20250420000995,Business,0,188,0.088,0
INS20250420001000,INS20250420001000,Food,0,320,0.067,0
INS20250420001005,INS20250420001005,Business,0,1041,0.088,0
INS20250420001011,INS20250420001011,Food,0,3093,0.675,1
INS20250420001013,INS20250420001013,Education,0,20505,0.795,0
INS20250420001015,INS20250420001015,Finance,0,85,0.189,0
INS20250421001022,INS20250421001022,Politics,0,11,0.246,0
INS20250421001025,INS20250421001025,Finance,0,500,0.283,0
INS20250421001035,INS20250421001035,Science,0,48,0.853,0
INS20250421001038,INS20250421001038,AI/ML,0,191654,0.103,1
INS20250421001045,INS20250421001045,AI/ML,0,222,0.13,0
INS20250421001049,INS20250421001049,Travel,0,2714,0.08,1
INS20250421001050,INS20250421001050,Climate,0,712,0.863,0
INS20250421001053,INS20250421001053,Finance,0,60,0.095,0
INS20250421001054,INS20250421001054,Politics,0,480,0.081,0
INS20250421001056,INS20250421001056,Technology,0,84,0.92,0
INS20250421001059,INS20250421001059,Education,0,142611,0.097,1
INS20250421001062,INS20250421001062,Science,0,157,0.856,0
INS20250421001063,INS20250421001063,Politics,0,128653,0.855,1
INS20250421001075,INS20250421001075,AI/ML,0,3,0.681,0
INS20250421001079,INS20250421001079,Gaming,0,4247,0.169,0
INS20250421001080,INS20250421001080,Entertainment,0,11815,0.867,1
INS20250421001086,INS20250421001086,Gaming,0,2644,0.059,0
INS20250421001100,INS20250421001100,Sports,0,734,0.68,0
INS20250421001112,INS20250421001112,Fashion,0,152960,0.948,0
INS20250421001116,INS20250421001116,Politics,0,963,0.945,0
INS20250421001119,INS20250421001119,Food,0,517,0.801,0
INS20250421001120,INS20250421001120,AI/ML,0,46107,0.062,1
INS20250421001125,INS20250421001125,Fashion,0,1052,0.848,0
INS20250421001126,INS20250421001126,Science,0,1,0.246,0
INS20250421001129,INS20250421001129,Finance,0,23572,0.025,0
INS20250421001138,INS20250421001138,Finance,0,47,0.188,0
INS20250421001139,INS20250421001139,Politics,0,10438,0.06,1
INS20250421001145,INS20250421001145,Entertainment,1,162447,0.643,1
INS20250421001156,INS20250421001156,Fashion,0,2005,0.101,0
INS20250421001159,INS20250421001159,Politics,0,842,0.08,0
INS20250421001162,INS20250421001162,Travel,0,1028,0.036,0
INS20250421001168,INS20250421001168,AI/ML,0,110,0.104,0
INS20250421001173,INS20250421001173,Climate,0,5,0.272,0
INS20250421001175,INS20250421001175,Education,0,3915,0.897,0
INS20250421001180,INS20250421001180,Science,0,1442,0.904,0
INS20250421001195,INS20250421001195,Science,0,51,0.699,0
INS20250421001201,INS20250421001201,Education,0,120286,0.12,1
INS20250421001203,INS20250421001203,Gaming,0,7702,0.649,0
INS20250421001212,INS20250421001212,Sports,0,4339,0.907,1
INS20250421001215,INS20250421001215,Education,0,345,0.104,0
INS20250421001218,INS20250421001218,Politics,0,1263,0.861,0
INS20250421001233,INS20250421001233,Sports,0,28,0.043,0
INS20250421001237,INS20250421001237,Science,0,953,0.208,0
INS20250421001242,INS20250421001242,Food,0,356699,0.757,1
INS20250421001247,INS20250421001247,Finance,0,2,0.661,0
INS20250421001257,INS20250421001257,Business,0,37423,0.133,1
INS20250421001260,INS20250421001260,Gaming,0,379,0.142,0
INS20250421001276,INS20250421001276,Education,0,6484,0.614,0
INS20250421001287,INS20250421001287,Travel,0,306402,0.757,1
INS20250421001288,INS20250421001288,Sports,0,943,0.746,0
INS20250421001297,INS20250421001297,Climate,0,3945,0.125,0
INS20250421001303,INS20250421001303,Finance,0,1025,0.061,1
INS20250421001310,INS20250421001310,Business,0,38,0.138,0
INS20250421001325,INS20250421001325,Finance,0,14121,0.704,0
INS20250421001332,INS20250421001332,Science,0,6041,0.639,1
INS20250421001336,INS20250421001336,AI/ML,0,59,0.78,0
INS20250421001337,INS20250421001337,AI/ML,0,10,0.669,0
INS20250421001338,INS20250421001338,Finance,0,21016,0.119,0
INS20250421001344,INS20250421001344,Food,0,3810,0.147,0
INS20250421001351,INS20250421001351,Sports,0,76828,0.201,1
INS20250421001352,INS20250421001352,Travel,0,73,0.618,0
INS20250421001355,INS20250421001355,Gaming,0,4,0.136,0
INS20250421001359,INS20250421001359,Food,0,48,0.77,0
INS20250421001366,INS20250421001366,Travel,0,663,0.815,0
INS20250421001367,INS20250421001367,Sports,0,433,0.864,0
INS20250421001378,INS20250421001378,Politics,0,1660,0.614,0
INS20250421001381,INS20250421001381,Technology,0,834,0.918,0
INS20250421001382,INS20250421001382,Health,0,4310,0.635,0
INS20250421001384,INS20250421001384,Education,0,4568,0.169,0
INS20250421001393,INS20250421001393,Business,0,1,0.798,0
INS20250421001395,INS20250421001395,AI/ML,0,172,0.622,0
INS20250421001398,INS20250421001398,Science,0,11411,0.034,0
INS20250421001403,INS20250421001403,Fashion,0,1326,0.732,0
INS20250421001410,INS20250421001410,Climate,0,13917,0.608,0
INS20250421001415,INS20250421001415,Health,0,2075,0.205,0
INS20250421001421,INS20250421001421,Fashion,0,17517,0.733,1
INS20250421001423,INS20250421001423,Health,0,114,0.149,0
INS20250421001430,INS20250421001430,Sports,0,6743,0.911,1
INS20250421001432,INS20250421001432,Health,0,952,0.096,0
INS20250421001444,INS20250421001444,Science,0,3048,0.115,0
INS20250421001451,INS20250421001451,Education,0,234,0.79,0
INS20250421001459,INS20250421001459,Travel,0,1386,0.012,0
INS20250421001466,INS20250421001466,Health,0,181,0.209,0
INS20250421001468,INS20250421001468,Health,0,55,0.062,0
INS20250421001480,INS20250421001480,Fashion,0,97,0.919,0
INS20250421001481,INS20250421001481,Finance,0,557,0.93,0
INS20250421001503,INS20250421001503,Entertainment,0,11359,0.835,0
INS20250421001514,INS20250421001514,Health,0,2308,0.052,0
INS20250421001516,INS20250421001516,Education,0,4007,0.243,0
INS20250421001525,INS20250421001525,Technology,0,1463,0.071,0
INS20250421001530,INS20250421001530,AI/ML,0,110,0.735,0
INS20250421001532,INS20250421001532,Travel,0,5321,0.031,0
INS20250421001533,INS20250421001533,Politics,0,14101,0.026,0
INS20250421001538,INS20250421001538,Travel,0,23610,0.866,1
INS20250421001539,INS20250421001539,Climate,0,1977,0.746,0
INS20250421001544,INS20250421001544,Sports,0,351,0.086,0
INS20250421001546,INS20250421001546,Climate,0,212,0.025,0
INS20250421001548,INS20250421001548,Food,0,1535,0.214,0
INS20250421001549,INS20250421001549,Gaming,0,8795,0.012,0
INS20250421001550,INS20250421001550,Business,0,737,0.079,0
INS20250421001551,INS20250421001551,Climate,0,979,0.693,0
INS20250421001552,INS20250421001552,Food,0,212,0.894,0
INS20250421001553,INS20250421001553,Science,0,14227,0.11,0
INS20250421001559,INS20250421001559,Health,0,6390,0.842,1
INS20250421001566,INS20250421001566,Fashion,0,1284,0.838,1
INS20250421001568,INS20250421001568,Health,0,2025,0.066,0
INS20250421001571,INS20250421001571,AI/ML,0,1286,0.7,0
INS20250421001579,INS20250421001579,Fashion,0,199,0.088,0
INS20250421001580,INS20250421001580,Technology,0,855,0.085,0
INS20250421001581,INS20250421001581,AI/ML,0,28,0.646,0
INS20250421001585,INS20250421001585,Gaming,0,441,0.746,0
INS20250421001590,INS20250421001590,Food,0,1105,0.207,0
INS20250421001595,INS20250421001595,Business,0,1373,0.119,0
INS20250421001607,INS20250421001607,Education,0,3562,0.77,0
INS20250421001608,INS20250421001608,Finance,0,934,0.113,0
INS20250421001614,INS20250421001614,Food,0,20216,0.146,1
INS20250421001619,INS20250421001619,Finance,0,1520,0.126,0
INS20250421001620,INS20250421001620,Science,0,1239,0.025,0
INS20250421001626,INS20250421001626,Technology,0,25,0.615,0
INS20250421001628,INS20250421001628,Entertainment,0,5,0.136,0
INS20250421001633,INS20250421001633,AI/ML,0,788,0.652,0
INS20250421001635,INS20250421001635,Health,0,9252,0.103,1
INS20250421001641,INS20250421001641,Fashion,0,127,0.88,0
INS20250421001642,INS20250421001642,Gaming,0,80660,0.156,1
INS20250421001643,INS20250421001643,Fashion,0,142,0.109,0
INS20250421001646,INS20250421001646,Sports,0,56,0.238,0
INS20250421001647,INS20250421001647,AI/ML,0,9455,0.033,1
INS20250421001648,INS20250421001648,Science,0,112,0.23,0
INS20250421001649,INS20250421001649,Science,0,22141,0.632,0
INS20250421001650,INS20250421001650,Health,0,8017,0.906,1
INS20250421001653,INS20250421001653,Sports,0,165,0.837,0
INS20250421001654,INS20250421001654,Food,0,45,0.058,0
INS20250421001658,INS20250421001658,AI/ML,0,403,0.071,0
INS20250421001668,INS20250421001668,Science,0,1154,0.126,0
INS20250421001669,INS20250421001669,Business,0,111,0.228,0
INS20250421001670,INS20250421001670,Business,0,4882,0.139,0
INS20250421001678,INS20250421001678,Fashion,0,8533,0.047,1
INS20250421001680,INS20250421001680,Climate,0,1978,0.147,0
INS20250421001682,INS20250421001682,Technology,0,1942,0.063,0
INS20250421001688,INS20250421001688,Science,0,15028,0.681,1
INS20250421001691,INS20250421001691,AI/ML,0,14946,0.624,1
INS20250421001692,INS20250421001692,Sports,0,1247,0.225,0
INS20250421001705,INS20250421001705,Education,0,30945,0.668,0
INS20250421001707,INS20250421001707,Business,0,21,0.079,0
INS20250421001708,INS20250421001708,Science,0,9016,0.719,0
INS20250421001710,INS20250421001710,Food,0,5429,0.191,0
INS20250421001715,INS20250421001715,Travel,0,551,0.097,0
INS20250421001716,INS20250421001716,Travel,0,2564,0.901,0
INS20250421001719,INS20250421001719,Health,0,4568,0.209,1
INS20250421001724,INS20250421001724,Finance,0,315,0.026,0
INS20250421001726,INS20250421001726,Politics,0,1198,0.19,0
INS20250421001729,INS20250421001729,Health,0,758,0.17,1
INS20250421001742,INS20250421001742,Finance,0,5399,0.902,0
INS20250421001743,INS20250421001743,Entertainment,0,14678,0.057,1
INS20250421001747,INS20250421001747,Food,0,22,0.166,0
INS20250421001751,INS20250421001751,Education,0,19294,0.73,1
INS20250421001758,INS20250421001758,Education,0,90060,0.776,1
INS20250421001765,INS20250421001765,Business,0,5,0.26,0
INS20250421001768,INS20250421001768,Entertainment,0,2824,0.093,1
INS20250421001769,INS20250421001769,Finance,0,784,0.146,0
INS20250421001774,INS20250421001774,AI/ML,0,150,0.779,0
INS20250421001775,INS20250421001775,Education,0,3051,0.144,0
INS20250421001779,INS20250421001779,Finance,0,9436,0.856,1
INS20250421001780,INS20250421001780,Sports,0,41313,0.902,1
INS20250421001789,INS20250421001789,Fashion,0,1403,0.731,0
INS20250421001791,INS20250421001791,Politics,0,1752,0.066,0
INS20250421001793,INS20250421001793,Education,0,16063,0.017,0
INS20250421001802,INS20250421001802,Climate,0,13527,0.8,1
INS20250421001806,INS20250421001806,Business,0,1098,0.132,0
INS20250421001811,INS20250421001811,Politics,0,224602,0.659,1
INS20250421001812,INS20250421001812,Gaming,0,501,0.932,0
INS20250421001822,INS20250421001822,Politics,0,75,0.062,0
INS20250421001825,INS20250421001825,Business,0,396,0.171,0
INS20250421001827,INS20250421001827,Food,0,7256,0.064,0
INS20250421001831,INS20250421001831,Health,0,2127,0.081,0
INS20250421001833,INS20250421001833,Politics,0,97,0.275,0
INS20250421001840,INS20250421001840,Fashion,0,6052,0.032,1
INS20250421001848,INS20250421001848,Science,0,12648,0.679,1
INS20250421001851,INS20250421001851,AI/ML,0,466,0.07,0
INS20250421001855,INS20250421001855,Politics,0,57,0.817,0
INS20250421001858,INS20250421001858,Politics,0,14779,0.011,1
INS20250421001860,INS20250421001860,Food,0,1599,0.928,0
INS20250421001861,INS20250421001861,Finance,0,311,0.669,0
INS20250421001863,INS20250421001863,Health,0,479,0.093,0
INS20250421001875,INS20250421001875,AI/ML,0,1258,0.727,0
INS20250421001877,INS20250421001877,Technology,0,90435,0.178,1
INS20250421001892,INS20250421001892,Food,0,5171,0.635,0
INS20250421001914,INS20250421001914,Fashion,0,373,0.024,0
INS20250421001918,INS20250421001918,Technology,1,53778,0.054,1
INS20250421001923,INS20250421001923,AI/ML,0,103,0.036,0
INS20250421001927,INS20250421001927,Politics,0,579,0.029,0
INS20250421001929,INS20250421001929,Science,0,85,0.149,0
INS20250421001935,INS20250421001935,Technology,0,95,0.194,0
INS20250421001943,INS20250421001943,Business,0,206,0.143,0
INS20250421001945,INS20250421001945,Health,0,285,0.174,0
INS20250421001948,INS20250421001948,Science,0,3,0.166,0
INS20250421001952,INS20250421001952,Entertainment,0,49,0.246,0
INS20250421001965,INS20250421001965,Sports,0,676,0.659,0
INS20250421001967,INS20250421001967,Sports,0,5335,0.091,0
INS20250421001976,INS20250421001976,Climate,0,2384,0.276,0
INS20250421001987,INS20250421001987,Sports,0,1181,0.081,0
INS20250421001997,INS20250421001997,Politics,0,15227,0.066,0
INS20250421002002,INS20250421002002,Gaming,0,812,0.675,0
INS20250421002009,INS20250421002009,Entertainment,0,734,0.239,0
INS20250421002017,INS20250421002017,Business,0,76,0.621,0
INS20250421002033,INS20250421002033,Entertainment,0,1122,0.168,0
INS20250421002037,INS20250421002037,Education,0,4076,0.172,0
INS20250421002038,INS20250421002038,Fashion,0,57,0.726,0
INS20250421002050,INS20250421002050,Business,0,453,0.155,0
INS20250421002059,INS20250421002059,Health,0,2657,0.875,1
INS20250421002061,INS20250421002061,Education,0,1021,0.696,0
INS20250421002062,INS20250421002062,Business,0,305,0.025,0
INS20250421002063,INS20250421002063,Climate,0,166,0.013,0
INS20250421002065,INS20250421002065,Technology,0,116192,0.684,1
INS20250421002068,INS20250421002068,Business,0,145,0.668,0
INS20250421002079,INS20250421002079,Business,0,109,0.1,0
INS20250421002092,INS20250421002092,Sports,0,160400,0.707,0
INS20250421002093,INS20250421002093,Finance,0,406,0.146,0
INS20250421002095,INS20250421002095,Education,0,3229,0.749,0
INS20250421002100,INS20250421002100,Gaming,0,374,0.012,0
INS20250421002102,INS20250421002102,Science,0,53,0.206,0
INS20250421002103,INS20250421002103,Education,0,65,0.072,0
INS20250421002105,INS20250421002105,Technology,0,7578,0.636,0
INS20250421002107,INS20250421002107,Education,0,7134,0.918,1
INS20250421002114,INS20250421002114,Science,0,588,0.805,0
INS20250421002117,INS20250421002117,Health,0,2848,0.032,0
INS20250421002122,INS20250421002122,Climate,0,13935,0.291,0
INS20250421002131,INS20250421002131,Technology,0,9006,0.174,1
INS20250421002145,INS20250421002145,Politics,0,2441,0.729,0
INS20250421002149,INS20250421002149,Finance,0,2802,0.847,1
INS20250421002152,INS20250421002152,Finance,0,245,0.676,0
INS20250421002154,INS20250421002154,Science,0,1563,0.846,0
INS20250421002160,INS20250421002160,Gaming,0,1406,0.17,0
INS20250421002175,INS20250421002175,Technology,0,3208,0.722,0
INS20250421002176,INS20250421002176,Entertainment,0,330,0.251,0
INS20250421002180,INS20250421002180,Fashion,0,10441,0.247,1
INS20250421002182,INS20250421002182,AI/ML,0,4871,0.135,0
INS20250421002189,INS20250421002189,Gaming,0,7697,0.694,1
INS20250421002196,INS20250421002196,Business,0,2,0.142,0
INS20250421002199,INS20250421002199,Education,0,40,0.189,0
INS20250421002200,INS20250421002200,Science,0,172,0.043,0
INS20250421002206,INS20250421002206,Business,0,471,0.919,0
INS20250421002207,INS20250421002207,Technology,0,1144,0.208,1
INS20250421002211,INS20250421002211,Science,0,16,0.833,0
INS20250421002212,INS20250421002212,AI/ML,0,66810,0.197,1
INS20250421002218,INS20250421002218,Food,0,743,0.218,0
INS20250421002221,INS20250421002221,Entertainment,0,2784,0.241,1
INS20250421002227,INS20250421002227,Finance,0,1017,0.254,0
INS20250421002231,INS20250421002231,Business,0,8069,0.115,0
INS20250421002232,INS20250421002232,Science,0,217,0.099,0
INS20250421002245,INS20250421002245,Travel,0,303,0.872,0
INS20250421002256,INS20250421002256,Fashion,0,22,0.833,0
INS20250421002257,INS20250421002257,Gaming,0,1497,0.814,0
INS20250421002258,INS20250421002258,Food,0,33580,0.096,1
INS20250421002268,INS20250421002268,Health,0,284,0.214,0
INS20250421002281,INS20250421002281,Entertainment,0,27349,0.177,1
INS20250421002282,INS20250421002282,Entertainment,0,10981,0.748,0
INS20250421002283,INS20250421002283,AI/ML,0,12,0.63,0
INS20250421002289,INS20250421002289,Gaming,0,262,0.126,0
INS20250421002299,INS20250421002299,Technology,0,674,0.278,0
